"party","1919","1919","1920","1920","1923","1923","1927","1927","1930","1930","1933","1933","1935","1935"
"party","%","seats","%","seats","%","seats","%","seats","%","seats","%","seats","%","seats"
"nsdap","-","-","-","-","-","-","0.81","1","16.4","12","50.12","38","59.31","43"
"dnvp","15.33","-","28.20","34","26.98","33","19.59","25","13.11","10","6.35","4","4.17","3"
"german social party","-","-","-","-","6.25","7","1.16","1","-","-","-","-","-","-"
"german democratic party","23.78","-","8.76","10","6.68","8","3.39","4","1.64","1","-","-","-","-"
"centre party","16.27","-","13.88","17","12.81","15","14.27","18","15.28","11","14.63","10","13.41","10"
"social democrats","38.51","-","15.93","19","24.12","30","33.79","42","25.25","19","17.69","13","16.05","12"
"uspd","6.12","-","17.45","21","-","-","-","-","-","-","-","-","-","-"
"communist party","-","-","-","-","9.09","11","6.40","8","10.21","7","6.80","5","3.37","2"
"freie wirtschaftliche vereinigung","-","-","9.71","12","2.90","3","1.22","1","3.22","2","-","-","-","-"
"german liberal party","-","-","-","-","-","-","-","-","3.39","3","-","-","-","-"
"national liberal citizens' party","-","-","-","-","-","-","4.56","5","2.22","2","-","-","-","-"
"german danziger people's party","-","-","-","-","4.49","6","4.38","5","-","-","-","-","-","-"
"bourgeois working alliance","-","-","-","-","-","-","2.31","3","2.37","2","-","-","-","-"
"polish party","-","-","6.08","7","4.38","5","3.15","3","3.23","2","3.15","2","3.53","2"
"others","-","-","-","-","2.29","2","4.97","4","3.68","1","1.25","-","0.16","-"
"total","100","none","100","120","100","120","100","120","100","72","100","72","100","72"
"voter turnout","none","-","70.4","-","81.60","-","85.43","-","89.07","-","92.09","-","99.5","-"
