"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"hammarby if","2015","allsvenskan","2","0","0","0","-","-","2","0"
"hammarby if","2016","allsvenskan","3","0","0","0","-","-","3","0"
"hammarby if","2017","allsvenskan","3","0","3","0","-","-","6","0"
"hammarby if","2018","allsvenskan","0","0","1","0","-","-","1","0"
"total","total","total","8","0","4","0","0","0","12","0"
"enskede ik","2016","division 1","1","0","0","0","-","-","1","0"
"ik frej","2017","superettan","14","3","0","0","-","-","14","3"
"ik frej","2018","superettan","29","9","0","0","-","-","29","9"
"career total","career total","career total","52","12","4","0","0","0","56","12"
