"survey, survey type and years surveyed","survey response rate","number of participants"
"canadian community health survey 1.1, annual, 2000 and 2001","84.7","85,954"
"canadian community health survey 1.2, mental health focused, 2002","77.0","25,422"
"canadian community health survey 2.1, annual, 2003","80.7","33,187"
"canadian community health survey 3.1, annual, 2005","78.9","44,802"
"canadian community health survey , annual, 2007 and 2008","77.6","31,224"
"canadian community health survey , annual, 2009 and 2010","72.3","37,265"
"canadian community health survey - mental health , mental health focused, 2012","68.9","16,190"
"canadian community health survey , annual, 2013 and 2014","66.2","25,112"
"canadian community health survey , annual, 2015 and 2016","59.5","31,890"
"total numbers","..","331,046"
