"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"dunfermline athletic","1992-93","scottish first division","3","0","0","0","0","0","1","0","4","0"
"dunfermline athletic","1993-94","scottish first division","39","0","2","0","0","0","2","0","43","0"
"dunfermline athletic","1994-95","scottish first division","30","2","1","0","1","0","5","0","37","2"
"dunfermline athletic","1995-96","scottish first division","7","1","-","-","2","0","3","1","12","2"
"dunfermline athletic","total","total","79","3","3","0","3","0","11","1","96","4"
"celtic","1995-96","scottish premier division","26","1","4","0","-","-","0","0","30","1"
"celtic","1996-97","scottish premier division","30","1","5","0","3","0","4","0","42","1"
"celtic","1997-98","scottish premier division","31","2","2","0","4","0","6","1","43","3"
"celtic","1998-99","scottish premier league","16","0","2","0","1","0","6","0","25","0"
"celtic","1999-2000","scottish premier league","23","0","0","0","4","0","4","0","31","0"
"celtic","2000-01","scottish premier league","30","3","4","3","3","1","5","0","42","7"
"celtic","2001-02","scottish premier league","20","0","4","0","2","0","4","0","30","0"
"celtic","2002-03","scottish premier league","19","1","2","0","0","0","7","0","28","1"
"celtic","2003-04","scottish premier league","27","1","4","0","1","0","11","0","43","1"
"celtic","2004-05","scottish premier league","34","1","4","0","1","0","5","0","44","1"
"celtic","total","total","256","10","31","3","19","1","52","1","358","15"
"wolverhampton wanderers","2005-06","championship","10","0","0","0","1","0","-","-","11","0"
"wolverhampton wanderers","2006-07","championship","19","0","2","0","0","0","2","0","23","0"
"wolverhampton wanderers","total","total","29","0","2","0","1","0","2","0","34","0"
"aberdeen","2007-08","scottish premier league","17","0","3","0","2","0","3","0","25","0"
"falkirk","2008-09","scottish premier league","29","0","4","0","4","0","-","-","37","0"
"falkirk","2009-10","scottish premier league","13","0","1","0","1","0","2","0","17","0"
"falkirk","total","total","42","0","5","0","5","0","2","0","54","0"
"partick thistle","2009-10","scottish first division","4","0","-","-","4","0","none","none","none","none"
"partick thistle","2010-11","scottish first division","15","0","1","0","0","0","2","0","18","0"
"partick thistle","total","total","19","0","1","0","0","0","2","0","22","0"
"career total","career total","career total","442","13","45","3","30","1","72","2","589","19"
