"factor affecting debt repayment","model on percentage reduction of student debt","model on percentage reduction of student debt","model on percentage reduction of student debt"
"factor affecting debt repayment","level of study","level of study","level of study"
"factor affecting debt repayment","college","bachelor's","master's, doctorate and professional"
"factor affecting debt repayment","percent","percent","percent"
"employment income in 2018","0.2","0.2","0.2"
"size of student debt at graduation","","",""
"less than $5,000","..","..",".."
"$5,000 to less than $10,000","-19.2","-12.1","-13.8"
"$10,000 to less than $25,000","-30.6","-27.9","-27.9"
"$25,000 or more","-45.7","-42.3","-41.1"
"family situation","","",""
"couple, with children","-4.0","-2.4","-2.3"
"couple, no children","..","..",".."
"single, with children","-15.6","-17.2","-4.3"
"single, no children","-2.5","-2.1","1.7"
"province of residence three years after graduation","","",""
"newfoundland","-10.2","-11.1","-2.5"
"prince edward island","-9.6","-10.4","-8.3"
"nova scotia","-7.8","-15.3","-10.0"
"new brunswick","-9.6","-6.9","-11.7"
"quebec","-8.3","-11.4","-12.2"
"ontario","..","..",".."
"manitoba","-3.8","-1.6","-9.8"
"saskatchewan","-5.6","-4.7","-13.2"
"alberta","1.3","-4.1","-4.7"
"british columbia","-9.9","-3.7","-3.0"
"territories","28.6","9.1","-7.1"
"parents' level of education","","",""
"less than high school","-2.1","1.9","1.6"
"high school","..","..",".."
"college or trades","-2.2","5.8","6.2"
"university","0.2","3.9","7.3"
"source of debt","","",""
"percentage of student debt from loan from family or friends","0.2","0.1","0.1"
"percentage of student debt from bank loan or line of credit","0.1","0.0","-0.1"
"demographic characteristics","","",""
"female","-3.3","-1.3","2.7"
"older than median age at graduation","-0.7","-6.7","-6.6"
"ever been a landed immigrant","7.7","-1.1","-3.1"
"visible minority status","-11.2","-1.0","1.5"
"aboriginal status","-5.3","1.7","-1.1"
"has a disability","-6.6","-5.6","-4.0"
