"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","fumbles","fumbles"
"year","team","g","gs","att","yards","avg","long","td","rec","yards","avg","long","td","fum","lost"
"2009","phi","16","4","155","637","4.1","66t","4","40","308","7.7","45","0","2","1"
"2010","phi","15","13","207","1,080","5.2","62","7","78","592","7.6","40","2","2","1"
"2011","phi","15","15","273","1,309","4.8","60","17","48","315","6.6","26","3","1","1"
"2012","phi","12","12","200","840","4.2","34","2","54","373","6.9","36","3","4","3"
"2013","phi","16","16","314","1,607","5.1","57t","9","52","539","10.4","70","2","1","1"
"2014","phi","16","16","312","1,319","4.2","53","5","28","155","5.5","18","0","4","3"
"2015","buf","12","12","203","895","4.4","48t","3","32","292","9.1","22","2","2","1"
"2016","buf","15","15","234","1,267","5.4","75t","13","50","356","7.1","41","1","3","0"
"2017","buf","16","16","287","1,138","4.0","48t","6","59","448","7.6","39","2","3","1"
"2018","buf","14","13","161","514","3.2","28t","3","34","238","7.0","24","0","-","-"
"career","career","147","132","2,346","10,606","4.5","75t","69","475","3,616","7.6","70","15","22","13"
