"census metropolitan area","percent change in crime severity index from 2016 to 2017","violations driving the change in crime severity index"
"canada","2","sexual assault (level 1), possession of stolen property, motor vehicle theft, homicide; offset by decrease in breaking and entering"
"st. john's","-15","decrease in breaking and entering"
"halifax","4","breaking and entering, sexual violations against children; sexual assault (level 1), robbery; offset by decrease in homicide"
"moncton","15","fraud, breaking and entering; offset by decrease in robbery"
"saint john","3","fraud, breaking and entering; offset by decrease in homicide"
"saguenay","-2","decreases in homicide, forcible confinement or kidnapping"
"quebec","8","attempted murder, homicide, fraud; offset by decrease in breaking and entering"
"sherbrooke","3","breaking and entering, sexual assault (level 1), child pornography, sexual assault (level 2); offset by decrease in sexual violations against children"
"trois-rivieres","10","sexual violations against children, homicide, theft of $5,000 or under, attempted murder; offset by decrease in forcible confinement or kidnapping"
"montreal","0","sexual assault (level 1), sexual violations against children, motor vehicle theft; offset by decrease in breaking and entering"
"gatineau","1","fraud, sexual violations against children, sexual assault (level 1); offset by decreases in breaking and entering and homicide"
"ottawa","0","decreases in homicide and breaking and entering; offset by increases in fraud and robbery"
"kingston","11","fraud, sexual assault (level 1), attempted murder; offset by decrease in breaking and entering"
"peterborough","-3","decreases in homicide, breaking and entering, theft of $5,000 or under, sexual violations against children; offset by increase in aggravated assault (level 3"
"toronto","3","theft of $5,000 or under, robbery, breaking and entering"
"hamilton","9","robbery, theft of $5,000 or under, motor vehicle theft"
"st. catharines-niagara","12","breaking and entering, trafficking, production or import/export of cannabis, fraud, homicide"
"kitchener-cambridge-waterloo","14","breaking and entering, fraud, sexual assault (level 1), robbery"
"brantford","-1","decreases in fraud, arson, breaking and entering; offset by increase in sexual assault (level 1"
"guelph","15","breaking and entering, fraud, sexual assault (level 1"
"london","3","motor vehicle theft, sexual assault (level 1), breaking and entering, theft of $5,000 or under; offset by a decrease in homicide"
"windsor","7","robbery, theft of $5,000 or under, fraud, attempted murder, breaking and entering"
"barrie","0","increase in homicide, administration of justice violations, robbery, and attempted murder; offset by decrease in fraud"
"greater sudbury","25","breaking and entering, child pornography, fraud, theft of $5,000 or under"
"thunder bay","1","increase in forcible confinement or kidnapping, trafficking, production or import/export of cocaine, aggravated assault (level 3), robbery; offset by decrease in breaking and entering"
"winnipeg","4","robbery, theft of $5,000 or under; partially offset by decrease in breaking and entering"
"regina","-11","decreases in robbery, breaking and entering, attempted murder"
"saskatoon","-1","decreases in homicide, theft of $5,000 or under, fraud, motor vehicle theft; offset by increases in robbery and breaking and entering"
"calgary","6","breaking and entering, robbery"
"edmonton","5","breaking and entering, administration of justice violations, possession of stolen property, fraud"
"kelowna","-2","decreases in child pornography, breaking and entering, robbery; offset by an increase in trafficking, production or import/export of heroin"
"abbotsford-mission","-1","decreases in breaking and entering, robbery, violent firearms offences; offset by an increase in homicide and sexual assault (level 3"
"vancouver","-6","decreases in breaking and entering, theft of $5,000 or under, child pornography"
"victoria","-3","decreases in breaking and entering, child pornography, robbery; offset by increase in homicide"
