"","female distribution","women","men","ratio"
"","female distribution","annual median employment income($)","annual median employment income($)","ratio"
"total university degree holders","100","62,508","75,520","0.83"
"health and related fields","13.7","70,288","76,856","0.91"
"mathematics, computer and information sciences","3.4","66,679","75,409","0.88"
"education","20.5","66,335","74,110","0.90"
"architecture, engineering, and related technologies","4.5","63,593","81,350","0.78"
"business, management and public administration","20.6","62,041","79,778","0.78"
"physical and life sciences and technologies","6.5","59,714","76,323","0.78"
"agriculture, natural resources and conservation","1.5","58,032","70,261","0.83"
"social and behavioural sciences and law","17.7","57,609","73,084","0.79"
"humanities","9.4","53,351","61,326","0.87"
"visual and performing arts, and communications technologies","2.4","48,245","54,791","0.88"
