"characteristics of youth who participated in restorative justice in 2009","restorative justice participants","restorative justice participants","restorative justice participants","nova scotia comparison group","nova scotia comparison group","nova scotia comparison group"
"characteristics of youth who participated in restorative justice in 2009","male","female","total","male","female","total"
"characteristics of youth who participated in restorative justice in 2009","percent","percent","percent","percent","percent","percent"
"canadian marginalization index: material deprivation","","","","","",""
"1 - least deprived quintile","8","6","7","13","13","13"
"2","12","13","12","15","15","15"
"3","13","13","13","16","16","16"
"4","26","21","24","21","22","22"
"5 - most deprived quintile","41","48","43","34","34","34"
"total","100","100","100","100","100","100"
"income characteristics of 16 and 17 year olds, 2009","","","","","",""
"non-child tax filer","9","20","12","5","6","6"
"low-income family","31","50","37","20","23","22"
"reporting employment earnings","32","33","35","31","33","32"
"reporting government transfers","x","x","4","1","1","1"
