"province/territory","2013/2014","2013/2014","2014/2015","2014/2015","percent change in number of cases 2013/2014 to 2014/2015","difference in median length of cases 2013/2014 to 2014/2015"
"province/territory","number","median length of case","number","median length of case","percent","days"
"canada","40,374","120","32,835","120","-19","0"
"newfoundland and labrador","503","120","356","163","-29","43"
"prince edward island","168","50","148","29","-12","-21"
"nova scotia","1,036","113","1,053","127","2","14"
"new brunswick","768","92","651","79","-15","-13"
"quebec","7,868","141","6,548","141","-17","0"
"ontario","14,681","120","11,341","122","-23","2"
"manitoba","3,129","148","2,667","141","-15","-7"
"saskatchewan","3,782","79","3,653","64","-3","-15"
"alberta","5,727","127","4,076","125","-29","-2"
"british columbia","2,315","117","2,054","117","-11","0"
"yukon","75","155","63","129","-16","-26"
"northwest territories","140","86","84","68","-40","-18"
"nunavut","182","72","141","72","-23","0"
