"age group","sepsis-associated mortality","sepsis-associated mortality"
"age group","rate per 100,000 people","% of all deaths"
"all ages","38.4","5.5"
"under 1","33.0","6.7"
"1 to 4","1.2","6.9"
"5 to 9","0.7","8.2"
"10 to 14","0.8","6.7"
"15 to 19","0.8","2.2"
"20 to 24","1.1","2.0"
"25 to 29","1.7","3.3"
"30 to 34","2.5","4.0"
"35 to 39","4.4","5.3"
"40 to 44","6.0","4.8"
"45 to 49","10.1","5.1"
"50 to 54","17.0","5.3"
"55 to 59","27.3","5.5"
"60 to 64","45.4","5.9"
"65 to 69","72.4","6.0"
"70 to 74","117.7","6.1"
"75 to 79","199.2","6.2"
"80 to 84","323.0","5.9"
"85 and over","587.8","4.7"
