"no","pos","name","league","league","fa cup","fa cup","league cup","league cup","europe","europe","total","total","discipline","discipline"
"no","pos","name","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","-","-"
"1","gk","spain david de gea","28","0","5","0","1","0","7","0","41","0","0","0"
"2","df","brazil rafael","27(1)","3","4","0","1","0","6(1)","0","38(2)","3","8","1"
"3","df","france patrice evra","34","4","3","0","0","0","5","0","42","4","5","0"
"4","df","england phil jones","13(4)","0","4","0","0","0","3","0","20(4)","0","4","0"
"5","df","england rio ferdinand","26(2)","1","2","0","0","0","3(1)","0","31(3)","1","3","0"
"6","df","northern ireland jonny evans","21(2)","3","2","0","0","0","5","1","28(2)","4","2","0"
"7","mf","ecuador antonio valencia","24(6)","1","3(3)","0","0","0","2(2)","0","29(11)","1","7","0"
"8","mf","brazil anderson","9(8)","1","3","0","2","1","3(1)","0","17(9)","2","1","0"
"9","fw","bulgaria dimitar berbatov","0","0","0","0","0","0","0","0","0","0","0","0"
"10","fw","england wayne rooney","22(5)","12","3","3","1","0","5(1)","1","31(6)","16","7","0"
"11","mf","wales ryan giggs","12(10)","2","2(2)","1","1","2","3(2)","0","18(14)","5","1","0"
"12","df","england chris smalling","10(5)","0","5","0","0","0","2","0","17(5)","0","2","0"
"13","gk","denmark anders lindegaard","10","0","1","0","1","0","1","0","13","0","0","0"
"14","fw","mexico javier hernandez","9(13)","10","6","4","2","1","5(1)","3","22(14)","18","1","0"
"15","df","serbia nemanja vidic","18(1)","1","2","0","0","0","2","0","22(1)","1","4","0"
"16","mf","england michael carrick","34(2)","1","3(2)","0","0","0","5","1","42(4)","2","4","0"
"17","mf","portugal nani","7(4)","1","4(1)","1","1","1","3(1)","0","15(6)","3","1","1"
"18","mf","england ashley young","17(2)","0","1(1)","0","0","0","0(2)","0","18(5)","0","1","0"
"19","fw","england danny welbeck","13(14)","1","3(1)","0","2","0","5(2)","1","23(17)","2","1","0"
"20","fw","netherlands robin van persie","35(3)","26","0(4)","1","0","0","5(1)","3","40(8)","30","7","0"
"21","fw","chile angelo henriquez","0","0","0","0","0","0","0","0","0","0","0","0"
"22","mf","england paul scholes","8(8)","1","1(2)","0","0","0","1(1)","0","10(11)","1","10","0"
"23","mf","england tom cleverley","18(4)","2","4","1","1","1","5","0","28(4)","4","2","0"
"24","mf","scotland darren fletcher","2(1)","1","0","0","2","0","3(2)","0","7(3)","1","0","0"
"25","mf","england nick powell","0(2)","1","0","0","0(2)","0","2","0","2(4)","1","0","0"
"26","mf","japan shinji kagawa","17(3)","6","2(1)","0","0","0","3","0","22(4)","6","1","0"
"27","fw","italy federico macheda","0","0","0","0","0(1)","0","0(2)","0","0(3)","0","0","0"
"28","df","netherlands alexander buttner","4(1)","2","3","0","2","0","3","0","12(1)","2","1","0"
"31","df","england scott wootton","0","0","0","0","2","0","1(1)","0","3(1)","0","1","0"
"33","fw","portugal bebe","0","0","0","0","0","0","0","0","0","0","0","0"
"34","mf","england larnell cole","0","0","0","0","0","0","0","0","0","0","0","0"
"35","mf","england jesse lingard","0","0","0","0","0","0","0","0","0","0","0","0"
"36","df","belgium marnick vermijl","0","0","0","0","1","0","0","0","1","0","0","0"
"37","mf","republic of ireland robbie brady","0","0","0","0","0(1)","0","0","0","0(1)","0","0","0"
"38","df","england michael keane","0","0","0","0","2","0","0","0","2","0","1","0"
"39","df","england tom thorpe","0","0","0","0","0","0","0","0","0","0","0","0"
"40","gk","england ben amos","0","0","0","0","0","0","0","0","0","0","0","0"
"41","fw","norway joshua king","0","0","0","0","0","0","0(1)","0","0(1)","0","0","0"
"42","df","england tyler blackett","0","0","0","0","0","0","0","0","0","0","0","0"
"44","mf","belgium adnan januzaj","0","0","0","0","0","0","0","0","0","0","0","0"
"45","mf","italy davide petrucci","0","0","0","0","0","0","0","0","0","0","0","0"
"46","mf","england ryan tunnicliffe","0","0","0","0","0(2)","0","0","0","0(2)","0","0","0"
"48","fw","england will keane","0","0","0","0","0","0","0","0","0","0","0","0"
"49","df","switzerland freddie veseli","0","0","0","0","0","0","0","0","0","0","0","0"
"50","gk","england sam johnstone","0","0","0","0","0","0","0","0","0","0","0","0"
"-","df","brazil fabio","0","0","0","0","0","0","0","0","0","0","0","0"
"-","fw","england wilfried zaha","0","0","0","0","0","0","0","0","0","0","0","0"
"-","-","own goals","-","6","-","0","-","0","-","1","-","7","-","-"
