"region or country of birth","women","women","men","men"
"region or country of birth","employment rate","unemployment rate","employment rate","unemployment rate"
"region of birth","percent","percent","percent","percent"
"caribbean and latin america","76.1","8.7","81.5","8.2"
"africa","64.6","12.5","78.8","10.8"
"other regions","69.9","10.4","78.0","10.7"
"country of birth","","","",""
"jamaica","77.7","7.8","81.9","7.7"
"haiti","76.1","9.7","80.6","9.3"
"trinidad and tobago","76.5","7.7","81.5","7.5"
"guyana","75.4","9.0","82.9","6.6"
"barbados","78.7","6.0","84.9","7.0"
"saint vincent and the grenadines","65.3","11.2","76.0","10.8"
"grenada","74.0","10.6","83.0","7.4"
"saint lucia","72.1","11.8","81.3","10.3"
"united kingdom","81.4","7.0","83.4","7.6"
"united states","72.4","8.9","78.4","9.8"
"ethiopia","65.4","10.9","82.0","7.3"
"somalia","43.9","17.1","68.0","13.7"
"eritrea","61.1","12.2","78.8","10.5"
"sudan","45.9","18.7","74.7","10.4"
"south sudan","59.4","13.2","70.1","15.7"
"burundi","65.6","12.5","73.5","13.2"
"kenya","75.2","7.3","82.4","8.9"
"zimbabwe","82.4","6.5","85.0","8.8"
"rwanda","67.8","11.1","81.7","10.3"
"democratic republic of the congo","61.6","13.7","74.2","13.7"
"cameroon","65.8","14.9","78.7","12.5"
"nigeria","69.9","12.7","80.4","11.3"
"ghana","71.6","10.4","83.5","8.0"
"cote d'ivoire","64.9","13.6","78.2","12.4"
"senegal","70.1","11.4","83.6","9.7"
"guinea","66.7","13.9","77.9","12.2"
