"individual and place of residence characteristics","volunteering and civic engagement activities","volunteering and civic engagement activities","volunteering and civic engagement activities"
"individual and place of residence characteristics","analysis method - logistic regressions","analysis method - logistic regressions","analysis method - logistic regressions"
"individual and place of residence characteristics","volunteering","members of or participants in a school group or a neighbourhood or community association","members of or participants in an immigrant or ethnic club or association"
"individual and place of residence characteristics","odds ratios","odds ratios","odds ratios"
"census metropolitan area","","",""
"montreal","0.60","0.53","1.23"
"toronto","1.00","1.00","1.00"
"vancouver","1.59","0.94","1.18"
"type of municipality","","",""
"central","1.00","1.00","1.00"
"peripheral 1st ring","0.88","0.74","1.08"
"peripheral 2nd ring","0.78","0.70","0.92"
"demographic weight of immigrant population in neighbourhood","","",""
"less than 50%","1.00","1.00","1.00"
"50% to less than 70%","0.79","1.08","2.09"
"70% or greater","0.99","1.25","1.66"
"period of immigration and generation","","",""
"recent immigrant","0.75","1.18","1.59"
"established immigrant","1.00","1.00","1.00"
"second generation","1.13","1.08","1.29"
