"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"piast gliwice","2008-09","ekstraklasa","26","0","1","0","-","-","27","0","none","none"
"piast gliwice","2009-10","ekstraklasa","28","2","1","0","-","-","29","1","none","none"
"piast gliwice","total","total","54","2","2","0","-","-","-","-","56","2"
"palermo","2010-11","serie a","0","0","0","0","4","0","-","-","4","0"
"bari","2010-11","serie a","16","0","1","0","-","-","17","0","none","none"
"torino","2011-12","serie b","23","2","1","0","-","-","24","2","none","none"
"torino","2012-13","serie a","32","1","1","0","-","-","33","1","none","none"
"torino","2013-14","serie a","34","2","1","0","-","-","35","2","none","none"
"torino","2014-15","serie a","32","7","1","0","11","1","-","-","44","8"
"torino","2015-16","serie a","33","0","2","0","-","-","35","0","none","none"
"torino","total","total","154","12","6","0","11","1","-","-","171","13"
"monaco","2016-17","ligue 1","36","6","4","1","13","1","-","-","53","8"
"monaco","2017-18","ligue 1","36","3","5","0","6","1","1","0","48","4"
"monaco","2018-19","ligue 1","19","1","3","0","5","0","1","0","28","1"
"monaco","total","total","91","10","12","1","24","2","2","0","129","13"
"career total","career total","career total","315","24","21","1","39","3","2","0","377","28"
