"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"wycombe wanderers","2002-03","second division","1","0","0","0","0","0","0","0","1","0"
"wycombe wanderers","2003-04","second division","19","2","2","0","0","0","1","0","22","2"
"wycombe wanderers","total","total","20","2","2","0","0","0","1","0","23","2"
"woking","2002-03","football conference","14","0","2","0","-","-","1","0","17","0"
"woking","2003-04","football conference","5","0","0","0","-","-","0","0","5","0"
"woking","total","total","19","0","2","0","-","-","1","0","22","0"
"crawley town","2004-05","conference national","39","0","0","0","-","-","3","0","42","0"
"crawley town","2005-06","conference national","26","0","0","0","-","-","3","0","29","0"
"crawley town","total","total","65","0","0","0","-","-","6","0","71","0"
"aldershot town","2005-06","conference national","10","0","0","0","-","-","0","0","10","0"
"lewes","2006-07","conference south","41","2","4","0","-","-","2","0","47","2"
"lewes","2007-08","conference south","41","5","5","1","-","-","2","1","48","7"
"lewes","total","total","82","7","9","1","-","-","4","1","95","9"
"havant & waterlooville","2008-09","conference south","41","2","5","4","-","-","8","2","54","8"
"havant & waterlooville","2009-10","conference south","37","6","2","0","-","-","1","0","40","6"
"havant & waterlooville","2010-11","conference south","38","0","4","0","-","-","2","0","44","0"
"havant & waterlooville","total","total","116","8","11","4","-","-","11","2","138","14"
"ebbsfleet united","2011-12","conference premier","20","0","1","0","-","-","0","0","21","0"
"dover athletic","2011-12","conference south","17","2","0","0","-","-","0","0","17","2"
"dover athletic","2012-13","conference south","32","2","0","0","-","-","3","1","35","3"
"dover athletic","total","total","49","4","0","0","-","-","3","1","52","5"
"eastbourne borough","2013-14","conference south","40","2","2","0","-","-","1","0","43","2"
"eastbourne borough","2014-15","conference south","36","2","5","0","-","-","1","0","42","2"
"eastbourne borough","2015-16","national league south","37","2","3","0","-","-","4","1","44","3"
"eastbourne borough","2016-17","national league south","35","0","2","0","-","-","2","1","39","1"
"eastbourne borough","2017-18","national league south","16","1","0","0","-","-","0","0","16","1"
"eastbourne borough","total","total","164","7","12","0","-","-","8","2","184","9"
"career total","career total","career total","545","28","37","5","0","0","34","6","616","39"
