"club","season","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"alessandria","1958-59","1","0","-","-","-","-","-","-","1","0"
"alessandria","1959-60","25","6","-","-","-","-","-","-","25","6"
"total","total","26","6","-","-","-","-","-","-","26","6"
"milan","1960-61","30","6","1","0","-","-","2","0","33","6"
"milan","1961-62","27","10","1","0","2","0","-","-","30","10"
"milan","1962-63","27","9","-","-","7","2","-","-","34","11"
"milan","1963-64","27","7","1","0","2","1","2","0","32","8"
"milan","1964-65","29","2","-","-","-","-","-","-","29","2"
"milan","1965-66","31","7","1","0","4","1","-","-","36","8"
"milan","1966-67","34","12","6","7","2","0","1","0","43","19"
"milan","1967-68","29","11","5","3","10","1","-","-","44","15"
"milan","1968-69","28","3","4","1","7","2","-","-","39","6"
"milan","1969-70","25","8","3","1","3","2","2","1","33","12"
"milan","1970-71","26","6","10","7","-","-","-","-","36","13"
"milan","1971-72","23","3","6","2","8","4","-","-","37","9"
"milan","1972-73","28","17","6","3","9","0","-","-","43","20"
"milan","1973-74","26","6","5","1","8","0","-","-","39","7"
"milan","1974-75","27","3","4","0","-","-","-","-","31","3"
"milan","1975-76","14","1","5","1","3","0","-","-","22","2"
"milan","1976-77","27","4","7","0","5","0","-","-","39","4"
"milan","1977-78","30","6","5","1","1","0","-","-","36","7"
"milan","1978-79","13","1","4","1","5","0","-","-","22","2"
"total","total","501","122","74","28","76","13","7","1","658","164"
"career total","career total","527","128","74","28","76","13","7","1","684","170"
