"","refugee claimants-permanent residents","government-assisted refugees","privately sponsored refugees","refugee claimants-non-permanent residents"
"male","51.9","46.0","49.9","50.7"
"age in 2003","32.5","32.5","31.8","32.7"
"","percent","percent","percent","percent"
"level of education at landing","","","",""
"no postsecondary-0 to 9 years of schooling","14.1","39.8","25.5",".."
"no postsecondary-10 to 12 years of schooling","25.5","27.7","43.4",".."
"no postsecondary-13 or more years of schooling","11.3","8.3","9.6",".."
"trade certificate","7.3","3.3","4.9",".."
"college certificate or diploma","16.9","6.5","8.5",".."
"bachelor's degree","20.9","13.1","6.5",".."
"master's degree","3.4","0.9","1.2",".."
"doctorate","0.7","0.3","0.3",".."
"not stated","0.0","0.0","0.0",".."
"world area of birth","","","",""
"europe","7.8","1.7","1.1","5.2"
"africa and the middle east","24.4","47.8","62.3","22.4"
"southern asia","24.8","1.2","2.1","26.1"
"eastern asia","6.6","0.5","0.0","14.2"
"oceania and other asia","5.7","24.0","28.7","4.5"
"south and central america","30.9","24.8","5.7","27.6"
"united states or other","0.0","0.0","0.1","0.0"
"","number","number","number","number"
"number of observations","6,407","2,011","1,057","138"
