"","very likely to vote in the next federal election","very likely to vote in the next federal election","very likely to vote in the next federal election","very likely to vote in the next federal election","very likely to vote in the next federal election","very likely to vote in the next federal election"
"","population aged 15 and over","population aged 15 and over","population aged 15 to 24","population aged 15 to 24","population aged 25 and over","population aged 25 and over"
"","percentage","predicted probability","percentage","predicted probability","percentage","predicted probability"
"age group","","","","","",""
"15 to 19","47","0.53","47","0.47","..",".."
"20 to 24","61","0.67","61","0.61","..",".."
"25 to 34","63","0.67","..","..","63","0.68"
"35 to 44","72","0.73","..","..","72","0.74"
"45 to 54","76","0.74","..","..","76","0.75"
"55 to 64","83","0.80","..","..","83","0.81"
"65 to 74","84","0.82","..","..","84","0.82"
"75 and over","82","0.80","..","..","82","0.81"
"sex","","","","","",""
"male","72","0.71","55","0.52","75","0.74"
"female","72","0.74","55","0.58","75","0.77"
"immigrant status","","","","","",""
"not an immigrant","75","0.75","58","0.58","78","0.78"
"not an immigrant, at least one parent foreign-born","73","0.73","52","0.52","77","0.76"
"immigrant","65","0.65","42","0.45","67","0.69"
"aboriginal identity","","","","","",""
"no","73","0.73","55","0.55","76","0.76"
"yes","63","0.68","55","0.55","65","0.70"
"household income","","","","","",""
"less than $60,000","69","0.69","51","0.50","71","0.72"
"$60,000 to $99,999","74","0.74","56","0.57","77","0.77"
"$100,000 to $149,999","78","0.77","67","0.62","80","0.79"
"$150,000 and over","83","0.79","67","0.63","86","0.82"
"not stated","65","0.69","43","0.49","69","0.72"
"province","","","","","",""
"newfoundland and labrador","73","0.70","47","0.49","76","0.74"
"prince edward island","74","0.73","56","0.63","77","0.74"
"nova scotia","75","0.74","49","0.46","79","0.78"
"new brunswick","72","0.73","34","0.41","78","0.78"
"quebec","75","0.75","64","0.64","77","0.77"
"ontario","72","0.72","54","0.54","74","0.75"
"manitoba","67","0.71","50","0.57","70","0.73"
"saskatchewan","69","0.69","42","0.40","74","0.74"
"alberta","70","0.69","48","0.44","74","0.73"
"british columbia","73","0.74","57","0.61","76","0.76"
"interest in politics","","","","","",""
"not very or not at all interested","49","0.56","34","0.38","53","0.59"
"somewhat interested","82","0.80","68","0.66","84","0.83"
"very interested","92","0.89","90","0.87","92","0.89"
"frequency of following the news and current affairs","","","","","",""
"daily","80","0.75","69","0.60","81","0.77"
"several times each week","70","0.73","64","0.61","72","0.75"
"several times each month","59","0.69","43","0.47","66","0.74"
"rarely or never","46","0.66","34","0.47","51","0.69"
"frequency of participation in group activities or meetings","","","","","",""
"no participation","65","0.71","49","0.54","68","0.73"
"less than once a month","76","0.75","57","0.54","77","0.78"
"once a month or more","76","0.73","58","0.56","80","0.77"
"volunteering in the past 12 months","","","","","",""
"no","69","0.71","52","0.53","72","0.74"
"yes","78","0.76","58","0.58","82","0.79"
"trust in general: generally speaking, most people can be trusted","","","","","",""
"no","67","0.71","51","0.54","70","0.74"
"yes","77","0.74","59","0.56","80","0.77"
"very strong sense of belonging to canada","","","","","",""
"no","64","0.69","51","0.52","67","0.71"
"yes","77","0.75","58","0.57","80","0.78"
