"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"middlesbrough","2000-01","premier league","0","0","0","0","1","0","-","-","1","0"
"middlesbrough","2001-02","premier league","0","0","0","0","0","0","-","-","0","0"
"middlesbrough","2002-03","premier league","21","0","1","0","1","0","-","-","23","0"
"middlesbrough","2003-04","premier league","13","0","1","0","2","0","-","-","16","0"
"middlesbrough","2004-05","premier league","19","0","0","0","0","0","5","0","24","0"
"middlesbrough","2005-06","premier league","20","2","8","1","3","0","11","1","42","4"
"middlesbrough","2006-07","premier league","18","0","2","0","1","0","-","-","21","0"
"middlesbrough","total","total","91","2","12","1","8","0","16","1","127","4"
"halifax town","2000-01","third division","6","0","0","0","-","-","0","0","6","0"
"birmingham city","2007-08","premier league","13","0","0","0","2","0","-","-","15","0"
"birmingham city","2008-09","championship","21","0","1","0","2","0","-","-","24","0"
"birmingham city","2009-10","premier league","8","0","1","0","2","0","-","-","11","0"
"birmingham city","2010-11","premier league","5","0","4","1","2","0","-","-","11","1"
"birmingham city","total","total","47","0","6","1","8","0","-","-","61","1"
"middlesbrough","2012-13","championship","14","0","2","0","2","0","-","-","18","0"
"middlesbrough","2013-14","championship","3","0","0","0","0","0","-","-","3","0"
"middlesbrough","total","total","17","0","2","0","2","0","-","-","21","0"
"hartlepool united","2014-15","league two","5","0","0","0","0","0","0","0","5","0"
"career total","career total","career total","166","2","20","2","18","0","16","1","220","5"
