"","donor rate","total amount donated","percentage of donations"
"","percentage","millions of dollars","percentage"
"type of organization","","",""
"total","82","12,764","100"
"arts and culture","3","160","1.3"
"sports and recreation","13","193","1.5"
"education and research","16","286","2.2"
"universities and colleges","2","161","1.3"
"health","48","1,658","13"
"hospitals","17","560","4.4"
"social services","40","1,578","12.4"
"environment","8","294","2.3"
"development and housing","2","152","1.2"
"law, advocacy and politics","3","136","1.1"
"grant-making, fundraising and volunteer work promotion","10","687","5.4"
"international organizations","11","1,283","10.1"
"religious organizations","31","5,228","41"
"business and professional associations, unions","0","f","f"
"groups not classified elsewhere","2","99","0.8"
