"club","season","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"boston united","none","none","none","none","none","none","none","none","none","none","none"
"boston united","1999-2000","17","8","1","0","0","0","0","0","18","8"
"boston united","2000-01","5","4","0","0","0","0","0","0","5","4"
"boston united","total","22","12","1","0","0","0","0","0","23","12"
"bolton wanderers","none","none","none","none","none","none","none","none","none","none","none"
"bolton wanderers","2000-01","0","0","0","0","2","0","0","0","2","0"
"bolton wanderers","2001-02","0","0","1","0","2","0","0","0","3","0"
"bolton wanderers","total","0","0","1","0","4","0","0","0","5","0"
"hull city","none","none","none","none","none","none","none","none","none","none","none"
"hull city","2001-02","6","1","0","0","0","0","0","0","6","1"
"hull city","total","6","1","0","0","0","0","0","0","6","1"
"plymouth argyle","none","none","none","none","none","none","none","none","none","none","none"
"plymouth argyle","2002-03","33","6","3","0","0","0","0","0","36","6"
"plymouth argyle","2003-04","45","5","1","0","1","0","1","0","48","5"
"plymouth argyle","2004-05","35","3","0","0","0","0","0","0","35","3"
"plymouth argyle","2005-06","45","2","1","0","1","0","0","0","47","2"
"plymouth argyle","2006-07","41","6","5","1","1","0","0","0","47","7"
"plymouth argyle","2007-08","27","5","1","0","2","0","0","0","30","5"
"plymouth argyle","total","226","27","11","1","5","0","1","0","243","28"
"ipswich town","none","none","none","none","none","none","none","none","none","none","none"
"ipswich town","2007-08","9","1","0","0","0","0","0","0","9","1"
"ipswich town","2008-09","37","3","2","0","2","0","0","0","41","3"
"ipswich town","2009-10","24","1","1","0","0","0","0","0","25","1"
"ipswich town","2010-11","36","8","1","0","6","3","0","0","43","11"
"ipswich town","total","106","13","4","0","8","3","0","0","118","16"
"portsmouth","none","none","none","none","none","none","none","none","none","none","none"
"portsmouth","2011-12","40","8","1","0","1","0","0","0","42","8"
"portsmouth","total","40","8","1","0","1","0","0","0","42","8"
"leeds united","none","none","none","none","none","none","none","none","none","none","none"
"leeds united","2012-13","30","3","2","0","2","1","0","0","34","4"
"leeds united","2013-14","0","0","0","0","1","0","0","0","1","0"
"leeds united","total","30","3","2","0","3","1","0","0","35","4"
"career total","career total","430","64","20","1","21","4","1","0","472","69"
