"contestant","week","week","week","week","week","week","week","week","week","week","semi- final","finale"
"contestant","1","2","3","4","5","6","7","8","9","10","semi- final","finale"
"patrick","5.50%","3.17%","2.73%","2.81%","2.60%","2.08%","5.76%","3.22%","3.32%","4.12%","12.54%","10.25%"
"frado","7.36%","0.88%","5.93%","2.84%","4.55%","+1.36%","7.38%","3.26%","1.50%","5.70%","10.89%","7.24%"
"ada","6.98%","2.50%","4.27%","4.02%","1.86%","3.32%","2.94%","4.04%","2.63%","3.24%","6.70%","4.79%"
"elizabeth","4.92%","1.29%","2.62%","2.24%","2.29%","+0.47%","4.21%","1.95%","2.49%","2.04%","7.81%","2.26%"
"mark","9.74%","2.89%","2.17%","2.49%","4.55%","2.08%","3.65%","2.39%","3.24%","2.34%","28.77%","28.77%"
"brendan","8.56%","1.51%","3.37%","0.63%","3.51%","1.32%","6.04%","2.86%","2.57%","1.89%","5.77%","5.77%"
"lisa","5.56%","1.84%","2.62%","3.08%","3.17%","0.82%","3.31%","2.56%","0.00%","16.23%","16.23%","16.23%"
"jessica","4.96%","2.61%","2.68%","2.36%","1.61%","1.64%","5.00%","0.44%","16.30%","16.30%","16.30%","16.30%"
"jesse","8.13%","2.95%","2.43%","4.98%","2.95%","+0.34%","5.72%","27.50%","27.50%","27.50%","27.50%","27.50%"
"aaron","6.41%","1.60%","2.78%","2.86%","2.21%","3.52%","1.04%","22.11%","22.11%","22.11%","22.11%","22.11%"
"anna","11.82%","11.82%","11.82%","1.72%","1.05%","0.71%","21.35%","21.35%","21.35%","21.35%","21.35%","21.35%"
"adam","8.46%","3.26%","2.81%","3.18%","3.88%","31.68%","31.68%","31.68%","31.68%","31.68%","31.68%","31.68%"
"rick","10.29%","2.55%","2.94%","3.37%","35.54%","35.54%","35.54%","35.54%","35.54%","35.54%","35.54%","35.54%"
"sandy","9.65%","9.65%","9.65%","11.54%","11.54%","11.54%","11.54%","11.54%","11.54%","11.54%","11.54%","11.54%"
"corey","9.46%","9.46%","9.46%","12.02%","12.02%","12.02%","12.02%","12.02%","12.02%","12.02%","12.02%","12.02%"
"shanna","8.68%","8.68%","8.68%","13.57%","13.57%","13.57%","13.57%","13.57%","13.57%","13.57%","13.57%","13.57%"
"montina","5.92%","5.92%","5.92%","15.93%","15.93%","15.93%","15.93%","15.93%","15.93%","15.93%","15.93%","15.93%"
"burgandy","5.19%","0.46%","2.29%","21.60%","21.60%","21.60%","21.60%","21.60%","21.60%","21.60%","21.60%","21.60%"
"sophia","5.15%","2.33%","0.79%","17.20%","17.20%","17.20%","17.20%","17.20%","17.20%","17.20%","17.20%","17.20%"
"tina","6.08%","1.62%","21.40%","21.40%","21.40%","21.40%","21.40%","21.40%","21.40%","21.40%","21.40%","21.40%"
"allie","5.28%","18.69%","18.69%","18.69%","18.69%","18.69%","18.69%","18.69%","18.69%","18.69%","18.69%","18.69%"
