"club","season","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"oldham athletic","2003-04","1","0","0","0","0","0","0","0","1","0"
"oldham athletic","2004-05","9","0","0","0","2","0","0","0","11","0"
"oldham athletic","2005-06","0","0","0","0","0","0","0","0","0","0"
"oldham athletic","2006-07","0","0","0","0","0","0","0","0","0","0"
"oldham athletic","total","10","0","0","0","2","0","0","0","12","0"
"stafford rangers","2006-07","2","0","0","0","-","-","0","0","2","0"
"stalybridge celtic","2006-07","15","5","0","0","-","-","0","0","15","5"
"stalybridge celtic","2007-08","41","11","2","0","-","-","5","0","48","11"
"stalybridge celtic","2008-09","38","10","2","1","-","-","6","2","46","13"
"stalybridge celtic","2009-10","34","9","3","2","-","-","4","1","41","12"
"stalybridge celtic","total","113","30","7","3","-","-","15","3","135","36"
"armadale","2010-11","?","?","?","?","-","-","?","?","?","?"
"hyde","2010-11","12","3","0","0","-","-","0","0","12","3"
"career totals","career totals","152","38","7","3","2","0","15","3","176","44"
