"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"arsenal","2001-02","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","2002-03","premier league","0","0","0","0","0","0","0","0","0","0"
"arsenal","total","total","0","0","0","0","0","0","0","0","0","0"
"brentford","2002-03","second division","2","0","0","0","1","0","0","0","3","0"
"wimbledon","2002-03","first division","10","0","0","0","0","0","0","0","10","0"
"wimbledon","2003-04","first division","35","2","2","0","1","0","0","0","38","2"
"wimbledon","total","total","45","2","2","0","1","0","0","0","48","2"
"milton keynes dons","2004-05","league one","41","2","2","0","2","0","2","0","47","2"
"milton keynes dons","2005-06","league one","26","0","2","0","1","0","0","0","29","0"
"milton keynes dons","2006-07","league two","13","1","0","0","2","0","0","0","15","1"
"milton keynes dons","total","total","80","3","4","0","5","0","2","0","91","3"
"gillingham","2006-07","league one","27","1","0","0","0","0","0","0","27","1"
"tranmere rovers","2007-08","league one","31","1","3","0","1","0","1","0","36","1"
"tranmere rovers","2008-09","league one","45","1","4","0","1","0","3","0","53","1"
"tranmere rovers","total","total","76","2","7","0","2","0","4","0","89","2"
"leyton orient","2009-10","league one","42","1","2","0","2","0","1","0","47","1"
"leyton orient","2010-11","league one","29","3","8","1","2","0","2","0","41","4"
"leyton orient","2011-12","league one","32","1","1","0","3","1","1","0","37","2"
"leyton orient","2012-13","league one","28","2","3","0","2","0","1","0","34","2"
"leyton orient","total","total","131","7","14","1","9","1","5","0","159","9"
"stevenage","2012-13","league one","8","0","0","0","0","0","0","0","8","0"
"stevenage","2013-14","league one","4","0","1","0","0","0","1","0","6","0"
"stevenage","total","total","12","0","1","0","0","0","1","0","14","0"
"portsmouth","2013-14","league two","12","0","0","0","0","0","0","0","12","0"
"portsmouth","2014-15","league two","16","0","2","0","1","0","0","0","19","0"
"portsmouth","total","total","28","0","1","0","1","0","0","0","31","0"
"bromley","2015-16","national league","31","0","1","0","-","-","1","0","33","0"
"bromley","2016-17","national league","26","0","0","0","-","-","0","0","26","0"
"bromley","2017-18","national league","23","0","0","0","-","-","5","0","28","0"
"bromley","total","total","80","0","1","0","-","-","6","0","87","0"
"career totals","career totals","career totals","481","15","31","1","19","1","18","0","549","17"
