"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"sunderland","1927-28","first division","0","0","0","0","0","0","0","0"
"nelson","1928-29","third division north","38","11","0","0","0","0","38","11"
"nelson","1929-30","third division north","9","4","0","0","0","0","9","4"
"nelson","total","total","47","15","0","0","0","0","47","15"
"huddersfield town","1929-30","first division","14","7","0","0","0","0","14","7"
"huddersfield town","1930-31","first division","19","8","1","0","0","0","20","8"
"huddersfield town","1931-32","first division","4","0","0","0","0","0","4","0"
"huddersfield town","total","total","37","15","1","0","0","0","38","15"
"charlton athletic","1931-32","second division","12","5","0","0","0","0","12","5"
"charlton athletic","1932-33","second division","8","1","0","0","0","0","8","1"
"charlton athletic","total","total","20","6","0","0","0","0","20","6"
"chester","1932-33","third division north","15","5","1","0","0","0","16","5"
"chester","1933-34","third division north","19","7","0","0","3","0","22","7"
"chester","1934-35","third division north","25","8","2","2","1","1","28","11"
"chester","1935-36","third division north","14","7","0","0","0","0","14","7"
"chester","total","total","73","27","3","2","4","1","80","30"
"port vale","1936-37","third division north","20","2","1","0","0","0","21","2"
"southampton","1937-38","second division","14","2","0","0","0","0","14","2"
"southampton","1938-39","second division","5","0","0","0","0","0","5","0"
"southampton","1939-40","none","0","0","0","0","1","0","1","0"
"southampton","total","total","19","2","0","0","1","0","20","2"
"career total","career total","career total","216","67","5","2","5","1","226","70"
