"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"lleida esportiu","2011-12","segunda division b","17","1","1","1","0","0","18","2"
"lleida esportiu","2012-13","segunda division b","41","4","0","0","0","0","41","4"
"lleida esportiu","2013-14","segunda division b","34","5","2","1","0","0","36","6"
"lleida esportiu","total","total","92","10","3","2","0","0","95","12"
"getafe","2014-15","la liga","0","0","1","0","0","0","1","0"
"getafe b","2014-15","segunda division b","35","6","0","0","0","0","35","6"
"ud logrones","2015-16","segunda division b","40","18","2","0","0","0","42","18"
"ucam murcia","2016-17","segunda division","16","1","2","0","0","0","18","1"
"numancia","2017-18","segunda division","29","6","5","0","0","0","34","6"
"eibar","2018-19","la liga","4","0","2","0","0","0","6","0"
"career totals","career totals","career totals","216","41","15","2","0","0","231","43"
