"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"burslem port vale","1906-07","second division","11","1","0","0","0","0","11","1"
"stoke","1907-08","second division","1","0","0","0","-","-","1","0"
"tottenham hotspur","1908-09","second division","1","0","1","0","-","-","2","0"
"port vale","1909-10","north staffordshire & district league","20","22","0","0","17","21","37","43"
"liverpool","1910-11","first division","10","3","0","0","-","-","10","3"
"bristol city","1911-12","second division","8","1","0","0","-","-","8","1"
"bristol city","1912-13","second division","14","10","0","0","-","-","14","10"
"bristol city","total","total","22","11","0","0","0","0","22","11"
"port vale","1913-14","central league","31","23","7","4","6","8","44","35"
"port vale","1914-15","central league","23","13","3","2","4","2","30","17"
"port vale","1919-20","second division","22","4","1","2","2","0","25","6"
"port vale","1920-21","second division","31","1","1","0","1","0","33","1"
"port vale","1921-22","second division","8","0","1","1","0","0","9","1"
"port vale","total","total","115","41","13","9","13","10","141","60"
"career total","career total","career total","180","78","14","9","30","31","224","118"
