"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"motherwell","1995-96","scottish premier division","2","0","0","0","0","0","1","0","3","0"
"motherwell","1996-97","scottish premier division","15","0","3","0","0","0","0","0","18","0"
"motherwell","1997-98","scottish premier division","24","2","4","0","2","0","0","0","30","2"
"motherwell","1998-99","scottish premier league","27","3","3","1","2","0","0","0","32","4"
"motherwell","1999-2000","scottish premier league","30","9","4","2","1","1","0","0","35","12"
"motherwell","2000-01","scottish premier league","26","7","1","1","2","1","0","0","29","9"
"motherwell","total","total","124","21","15","4","7","2","1","0","147","27"
"wigan athletic","2000-01","english second division","10","3","0","0","0","0","1","0","11","3"
"wigan athletic","2001-02","english second division","34","6","1","0","0","0","1","0","36","6"
"wigan athletic","2002-03","english second division","38","6","1","0","2","0","0","0","41","6"
"wigan athletic","2003-04","english first division","41","6","1","0","3","1","0","0","45","7"
"wigan athletic","2004-05","english championship","42","14","0","0","1","0","0","0","43","14"
"wigan athletic","2005-06","english premier league","30","5","1","0","4","0","0","0","35","5"
"wigan athletic","2006-07","english premier league","29","4","1","1","0","0","0","0","30","5"
"wigan athletic","total","total","224","44","5","1","10","1","2","0","241","46"
"rangers","2007-08","scottish premier league","22","3","6","2","3","0","15","2","46","7"
"rangers","2008-09","scottish premier league","12","0","4","0","2","0","2","0","20","0"
"rangers","2009-10","scottish premier league","34","5","4","0","3","1","6","1","47","7"
"rangers","2010-11","scottish premier league","21","0","1","0","3","1","5","0","30","1"
"rangers","2011-12","scottish premier league","26","5","0","0","1","0","3","0","30","5"
"rangers","2012-13","scottish third division","28","17","3","2","4","5","3","2","38","26"
"rangers","2013-14","scottish league one","34","17","6","0","1","0","5","1","46","18"
"rangers","2014-15","scottish championship","32","4","3","0","5","0","6","2","46","6"
"rangers","total","total","209","52","27","4","22","7","45","8","303","70"
"kilmarnock","2015-16","scottish premiership","1","0","0","0","0","0","0","0","1","0"
"kilmarnock","total","total","1","0","0","0","0","0","0","0","1","0"
"career total","career total","career total","558","114","47","9","39","10","48","6","692","143"
