"club","season","league","league","league","fa cup","fa cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"fulham","2011-12","premier league","4","0","0","0","0","0","0","0","4","0"
"fulham","2012-13","premier league","20","4","3","0","1","0","-","-","24","4"
"fulham","2013-14","premier league","23","1","3","0","3","0","-","-","29","1"
"fulham","2014-15","championship","14","2","2","0","0","0","-","-","16","2"
"fulham","2015-16","championship","23","3","1","0","3","1","-","-","27","4"
"fulham","total","total","84","10","9","0","7","1","0","0","100","11"
"watford","2011-12","championship","12","1","-","-","12","1","none","none","none","none"
"burnley","2012-13","championship","6","0","-","-","6","0","none","none","none","none"
"copenhagen","2014-15","superliga","7","2","1","0","0","0","5","0","13","2"
"nantes","2016-17","ligue 1","17","0","1","0","1","0","0","0","19","0"
"nantes","2017-18","ligue 1","9","0","2","0","1","0","0","0","12","0"
"nantes","2018-19","ligue 1","0","0","0","0","0","0","0","0","0","0"
"nantes","total","total","26","0","3","0","2","0","0","0","31","0"
"hammarby","2019","allsvenskan","3","0","3","0","0","0","0","0","6","0"
"career total","career total","career total","133","13","16","0","10","1","5","0","182","14"
