"","high skilled","high skilled","low skilled","low skilled"
"","literacy","numeracy","literacy","numeracy"
"","percent","percent","percent","percent"
"gender","","","",""
"male","5.5","5.4","18.6","18.0"
"female","6.8","6.1","15.2","14.3"
"age group","","","",""
"25 to 39","6.6","5.9","16.9","16.7"
"40 to 54","5.3","5.2","16.6","14.7"
"55 to 64","7.1","6.8","16.2","15.5"
"place of birth, location of highest degree","","","",""
"born in canada","6.0","5.7","16.1","13.8"
"foreign-born / canadian degree","2.6","2.5","4.1","3.8"
"foreign-born / foreign degree","13.6","11.1","25.3","27.5"
"field of study","","","",""
"stem","4.6","4.4","11.2","11.4"
"humanities, languages, arts","14.6","12.3","30.1","29.5"
"social science, business, law","7.2","6.4","24.2","21.8"
"teacher and related","5.5","5.9","12.9","9.8"
"health and welfare","3.0","3.4","12.5","9.4"
"province/region","","","",""
"atlantic","6.6","6.7","20.9","15.0"
"quebec","6.1","5.8","15.5","14.7"
"ontario","5.2","4.6","16.3","16.1"
"manitoba and saskatchewan","8.1","8.5","24.9","18.2"
"alberta","8.3","8.0","13.2","12.7"
"british columbia and the territories","6.9","6.5","19.7","17.6"
"mother tongue","","","",""
"english","6.2","5.8","8.7","10.3"
"french","3.3","2.8","7.2","8.6"
"other","9.8","9.8","24.6","22.9"
"lives with spouse/partner","","","",""
"no","8.6","8.2","25.4","22.0"
"yes","5.5","5.1","14.5","13.8"
"has a child in the home","","","",""
"no","6.0","5.5","13.5","13.8"
"yes","6.2","5.9","18.0","16.5"
"extent of long-term illness/health problem","","","",""
"no health limitation","6.0","5.6","16.0","15.3"
"illness exists but is not limiting","5.0","4.5","18.4","18.1"
"illness is limiting, including severely","8.4","9.0","19.6","15.4"
"aboriginal status","","","",""
"not of aboriginal descent","6.1","5.7","16.5","15.5"
"of aborginal descent","9.6","8.7","29.1","28.0"
"parental education","","","",""
"both have less than a high school diploma","4.7","4.0","13.6","13.9"
"at least one has a high school diploma","5.9","5.3","23.8","21.6"
"at least one has a postsecondary education / less than a bachelor's degree","7.5","6.7","16.4","17.6"
"at least one has a university degree","5.9","5.9","15.5","12.4"
"number of books in the home at age 16","","","",""
"25 or less","6.3","5.8","17.7","16.1"
"26 to 100","6.4","6.4","15.8","14.1"
"more than 100","5.9","5.4","16.6","17.0"
"","number","number","number","number"
"unweighted sample size","3,232","2,942","1,043","1,333"
"weighted sample size","3,010,723","2,737,637","908,558","1,181,644"
