"type of offence and type of drug","guilty","guilty","stayed/withdrawn","stayed/withdrawn","acquitted","acquitted","other","other","total","total"
"type of offence and type of drug","number","percent","number","percent","number","percent","number","percent","number","percent"
"completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession","completed cases related to drug possession"
"cannabis","25,219","43","33,369","57","92","0","258","0","58,938","100"
"other drugs","22,740","65","12,158","35","129","0","120","0","35,147","100"
"cocaine","13,870","66","6,933","33","88","0","63","0","20,954","100"
"heroin","743","67","355","32","4","0","1","0","1,103","100"
"methamphetamines","1,223","65","641","34","7","0","8","0","1,879","100"
"ecstasy","510","59","345","40","1","0","8","1","864","100"
"other cdsa","6,394","62","3,884","38","29","0","40","0","10,347","100"
"total completed cases related to drug possession","47,959","51","45,527","48","221","0","378","0","94,085","100"
"completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply","completed cases related to drug supply"
"cannabis","7,752","49","7,883","50","148","1","85","1","15,868","100"
"other drugs","15,248","56","11,600","43","270","1","111","0","27,229","100"
"cocaine","10,968","58","7,774","41","206","1","77","0","19,025","100"
"heroin","740","58","504","40","22","2","3","0","1,269","100"
"methamphetamines","371","52","329","46","5","1","6","1","711","100"
"ecstasy","256","52","230","46","4","1","6","1","496","100"
"other cdsa","2,913","51","2,763","48","33","1","19","0","5,728","100"
"total completed cases related to drug supply","23,000","53","19,483","45","418","1","196","0","43,097","100"
"completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases","completed drug-related cases"
"cannabis","32,971","44","41,252","55","240","0","343","0","74,806","100"
"other drugs","37,988","61","23,758","38","399","1","231","0","62,376","100"
"cocaine","24,838","62","14,707","37","294","1","140","0","39,979","100"
"heroin","1,483","63","859","36","26","1","4","0","2,372","100"
"methamphetamines","1,594","62","970","37","12","0","14","1","2,590","100"
"ecstasy","766","56","575","42","5","0","14","1","1,360","100"
"other cdsa","9,307","58","6,647","41","62","0","59","0","16,075","100"
"total completed drug-related cases","70,959","52","65,010","47","639","0","574","0","137,182","100"
