"team","year","regular season","regular season","regular season","regular season","regular season","regular season","regular season","postseason","postseason","postseason","postseason"
"team","year","g","w","l","t","otl","pts","finish","w","l","win %","result"
"nyi","2001-02","82","42","28","8","4","96","2nd in atlantic","3","4",".429","lost in conference quarterfinals"
"nyi","2002-03","82","35","34","11","2","83","3rd in atlantic","1","4",".200","lost in conference quarterfinals"
"nyi total","nyi total","164","77","62","19","6","none","none","4","8",".333","none"
"car","2003-04","52","20","22","6","4","(50)","3rd in southeast","-","-","-","missed playoffs"
"car","2005-06","82","52","22","-","8","112","1st in southeast","16","9",".640","won stanley cup"
"car","2006-07","82","40","34","-","8","88","3rd in southeast","-","-","-","missed playoffs"
"car","2007-08","82","43","33","-","6","92","2nd in southeast","-","-","-","missed playoffs"
"car","2008-09","25","12","11","-","2","(26)","(fired)","-","-","-","-"
"car total","car total","323","167","122","6","28","none","none","16","9",".640","none"
"phi","2009-10","57","28","24","-","5","(61)","3rd in atlantic","14","9",".609","lost in stanley cup finals"
"phi","2010-11","82","47","23","-","12","106","1st in atlantic","4","7",".364","lost in conference semifinals"
"phi","2011-12","82","47","26","-","9","103","3rd in atlantic","5","6",".500","lost in conference semifinals"
"phi","2012-13","48","23","22","-","3","49","4th in atlantic","-","-","-","missed playoffs"
"phi","2013-14","3","0","3","-","0","0","(fired)","-","-","-","-"
"phi total","phi total","272","145","98","-","29","none","none","23","22",".511","none"
"nsh","2014-15","82","47","25","-","10","104","2nd in central","2","4",".333","lost in first round"
"nsh","2015-16","82","41","27","-","14","96","4th in central","7","7",".500","lost in second round"
"nsh","2016-17","82","41","29","-","12","94","4th in central","14","8",".636","lost in stanley cup finals"
"nsh","2017-18","82","53","18","-","11","117","1st in central","7","6",".538","lost in second round"
"nsh","2018-19","82","47","29","-","6","100","1st in central","2","4",".333","lost in first round"
"nsh total","nsh total","410","229","128","-","53","none","none","32","29",".525","none"
"total","total","1,169","618","410","25","16","none","none","75","68",".524","1 stanley cup 10 playoff appearances"
