"treatment","%","95% confidence interval","95% confidence interval"
"treatment","%","from","to"
"received treatment","","",""
"yes","82.5","76.6","87.2"
"no","17.5","12.8","23.4"
"type of treatment","","",""
"medication","83.7","74.1","90.2"
"rehabilitation therapy","48.5","40.7","56.4"
"counselling/psychotherapy","27.0","20.2","35.1"
"complementary/alternative medicine","25.3","19.1","32.8"
"urinary catheterization","15.6","10.8","22.0"
"venous angioplasty/liberation therapy","10.3","5.8","17.6"
"number of different types of treatment","","",""
"1","38.9","31.4","47.0"
"2","30.0","23.2","37.9"
"3","15.9","11.3","21.9"
"4 or more","15.2","10.2","22.1"
