"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1992-93","division 2","41","15","4","1","2","1","9","2","56","18"
"port vale","1993-94","division 2","42","13","2","0","2","1","4","2","50","16"
"port vale","total","total","83","28","6","1","4","2","13","4","106","35"
"sheffield wednesday","1994-95","premier league","14","1","0","0","4","1","-","-","18","2"
"aston villa","1994-95","premier league","22","1","2","0","0","0","-","-","24","1"
"aston villa","1995-96","premier league","25","3","3","1","6","1","-","-","34","5"
"aston villa","1996-97","premier league","34","2","0","0","3","1","-","-","37","3"
"aston villa","1997-98","premier league","32","6","3","0","1","0","8","3","44","9"
"aston villa","1998-99","premier league","33","4","1","0","1","0","3","0","38","4"
"aston villa","1999-2000","premier league","29","5","5","0","8","5","-","-","42","10"
"aston villa","2000-01","premier league","29","4","1","0","1","0","4","1","35","5"
"aston villa","2001-02","premier league","16","3","1","1","1","0","-","-","18","4"
"aston villa","2002-03","premier league","13","0","1","0","2","1","3","1","19","2"
"aston villa","total","total","233","28","17","2","23","8","18","5","291","43"
"derby county","2003-04","division 1","42","11","1","0","1","1","-","-","44","12"
"derby county","2004-05","championship","39","3","2","0","1","0","2","0","44","3"
"derby county","total","total","81","14","3","0","2","1","2","0","88","15"
"northampton town","2005-06","league two","33","7","3","0","1","0","1","0","38","7"
"northampton town","2006-07","league one","33","1","3","0","0","0","-","-","36","1"
"northampton town","total","total","66","8","6","0","1","0","1","0","74","8"
"career total","career total","career total","477","79","32","3","34","12","34","9","577","103"
