"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"doncaster rovers","1973-74","fourth division","38","10","4","1","2","0","44","11"
"doncaster rovers","1974-75","fourth division","31","11","2","1","0","0","33","12"
"doncaster rovers","1975-76","fourth division","42","22","1","0","7","6","49","28"
"doncaster rovers","1976-77","fourth division","46","15","2","0","4","3","52","18"
"doncaster rovers","1977-78","fourth division","30","7","1","0","2","1","33","8"
"doncaster rovers","total","total","187","65","10","2","15","10","212","77"
"stoke city","1977-78","second division","15","6","0","0","0","0","15","6"
"stoke city","1978-79","second division","41","15","1","0","5","1","47","16"
"stoke city","1979-80","first division","36","5","1","0","3","1","40","6"
"stoke city","1980-81","first division","37","7","1","0","0","0","38","7"
"stoke city","1981-82","first division","41","5","1","0","2","0","44","5"
"stoke city","1982-83","first division","37","5","3","0","2","0","42","5"
"stoke city","1983-84","first division","38","1","1","0","5","1","44","2"
"stoke city","1984-85","first division","20","0","2","0","2","0","24","0"
"stoke city","total","total","265","44","10","0","19","3","294","47"
"oldham athletic","1984-85","second division","9","0","0","0","0","0","9","0"
"oldham athletic","1985-86","second division","1","0","0","0","0","0","1","0"
"oldham athletic","total","total","10","0","0","0","0","0","10","0"
"career total","career total","career total","462","109","20","2","34","13","516","124"
