"","given distance to a planned cannabis store","given distance to a planned cannabis store","given distance to a planned cannabis store","given distance to a planned cannabis store","given distance to a planned cannabis store"
"","1 km","2 km","5 km","10 km","more than 10 km"
"","percent","percent","percent","percent","percent"
"canada","4.1","10.8","24.9","34.7",".."
"newfoundland and labrador","9.9","27.1","52.9","64.8","100"
"prince edward island","4.8","20.7","41.7","57.8","100"
"nova scotia","4.7","14.7","39.4","55.4","100"
"new brunswick","4.7","13.1","38.9","55.4","100"
"quebec","2.1","7","21.9","40.4","100"
"ontario","0","0","0","0",".."
"manitoba","5.7","20.5","58.5","64.7","100"
"saskatchewan","10.7","28.8","62.3","66.3","100"
"alberta","15.4","34.3","54.8","63.8","100"
"british columbia","6.8","18.2","49.5","72.8","100"
"yukon","2.3","7.3","42.9","63.5","100"
"northwest territories","0","0","0","0",".."
"nunavut","0","0","0","0",".."
