"no","pos","nat","player","total","total","ligat ha'al","ligat ha'al","state cup","state cup","toto cup","toto cup","uefa europa league","uefa europa league"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","df","israel","daniel lifshitz","2","0","1","0","0","0","1","0","0","0"
"2","df","israel","eli dasa","51","0","31","0","5","0","5","0","10","0"
"3","df","israel","yuval spungin","10","0","5","0","1","0","4","0","0","0"
"4","df","brazil","ramon menezes roma","3","0","3","0","0","0","0","0","0","0"
"5","mf","argentina","ezequiel oscar scarione","35","9","19","5","4","1","5","0","7","3"
"6","mf","israel","gal alberman","52","2","31","1","4","0","5","0","12","1"
"9","fw","iceland","viðar orn kjartansson","44","24","33","19","4","4","2","0","5","1"
"10","fw","israel","barak itzhaki","41","7","26","7","4","0","5","0","6","0"
"11","fw","israel","tal ben haim","52","18","31","14","5","1","4","0","12","3"
"13","df","israel","sheran yeini","20","0","16","0","4","0","0","0","0","0"
"14","mf","portugal","ruben micael","19","1","15","1","4","0","0","0","0","0"
"15","mf","israel","dor micha","55","7","34","2","6","1","3","2","12","2"
"17","fw","israel","sagiv yehezkel","14","0","9","0","2","0","2","0","1","0"
"18","df","israel","eitan tibi","50","0","26","0","5","0","6","0","13","0"
"20","df","israel","omri ben harush","26","0","12","0","2","0","3","0","9","0"
"21","df","belarus","egor filipenko","33","0","17","0","3","0","6","0","7","0"
"22","df","israel","avi rikan","30","3","15","3","2","0","5","0","8","0"
"23","mf","israel","eyal golasa","34","2","23","1","2","0","5","0","4","1"
"25","fw","israel","aaron schoenfeld","12","1","10","0","2","1","0","0","0","0"
"26","df","israel","tal ben haim","48","0","31","0","4","0","4","0","9","0"
"29","mf","brazil","marcelo","5","0","3","0","2","0","0","0","0","0"
"45","mf","israel","eliel peretz","18","0","8","0","2","0","6","0","2","0"
"51","mf","israel","yossi benayoun","48","5","29","1","4","1","4","1","11","2"
"95","gk","serbia","predrag rajkovic","57","0","35","0","6","0","2","0","14","0"
"players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:","players away from maccabi tel aviv on loan:"
"16","mf","israel","shlomi azulay","1","0","0","0","0","0","1","0","0","0"
"55","gk","israel","haviv ohayon","3","0","0","0","0","0","3","0","0","0"
"42","mf","israel","dor peretz","18","0","3","0","2","0","6","0","7","0"
"players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:","players who appeared for maccabi tel aviv that left during the season:"
"31","df","spain","carlos garcia","1","0","0","0","0","0","0","0","1","0"
"70","fw","portugal","orlando sa","10","3","0","0","0","0","3","2","7","1"
"9","fw","israel","eden ben basat","24","5","10","1","1","0","4","4","9","0"
"4","mf","bosnia and herzegovina","haris medunjanin","37","2","18","0","2","0","3","0","14","2"
"40","mf","nigeria","nosa igiebor","32","7","15","2","0","0","3","1","14","4"
