"type of formal employer support","2013","2010"
"type of formal employer support","percentage","percentage"
"any type of support","55","57"
"use of facilities or equipment","27","30"
"paid time off or time to spend volunteering","20","20"
"approval to change work hours or reduce work activities","34","35"
"recognition or letter of thanks","19","24"
"other","3","4"
"donated prizes, gift certificates","1","2"
"donated financially to the organization","1","1"
"donated t-shirts or company goods","1","1"
"sponsored an event, paid entry fee or membership fee","1","1"
"provided transportation","0","f"
