"","women","women","men","men"
"","scientific occupations","non-scientific occupations","scientific occupations","non-scientific occupations"
"","percentage","percentage","percentage","percentage"
"job status","","","",""
"permanent","93.2","87.2","94.6","86.2"
"temporary","6.8","12.8","5.4","13.8"
"full-time or part-time status","","","",""
"full-time","97.0","84.7","99","92.8"
"part-time","3.0","15.3","1.0","7.2"
"unionization","","","",""
"unionized","25.7","60.8","18.6","46.9"
"non-unionized","74.3","39.2","81.4","53.1"
"job tenure","","","",""
"less than 1 year","11.5","9.6","13.4","11.4"
"1 to 2 years","9.1","7.5","11.6","9.3"
"2 to 5 years","24.3","19.1","24.8","21.0"
"5 years or more","55.1","63.8","50.3","58.4"
"firm size","","","",""
"less than 20 employees","7.2","8.1","9.5","9.8"
"20 to 99 employees","11.1","10.6","13.1","10.6"
"100 to 500 employees","12.6","13.2","14.7","13.5"
"more than 500 employees","69.1","68.1","62.7","66.2"
"","2015 dollars","2015 dollars","2015 dollars","2015 dollars"
"hourly wage","","","",""
"average","36.08","34.56","39.68","37.89"
"25 to 34","31.84","30.69","34.23","32.39"
"35 to 44","37.26","35.89","40.20","38.32"
"45 to 54","38.46","36.43","43.43","40.83"
"55 to 64","40.32","36.99","45.05","41.53"
