"impact","number '000","%","95% confidence interval","95% confidence interval"
"impact","number '000","%","from","to"
"overall, how much epilepsy affects life","","","",""
"not at all","31","38.8","30.0","48.3"
"a little bit/moderately","35","43.6","34.6","53.1"
"quite a bit/extremely","14","17.6","10.2","28.8"
"interactions with others","","","",""
"one or more negative feelings","","","",""
"sometimes/often/always","27","39.3","29.6","49.9"
"rarely/never","42","60.7","50.1","70.4"
"felt embarrassed","","","",""
"sometimes/often/always","17","24.9","17.9","33.5"
"rarely/never","53","75.1","66.5","82.1"
"felt left out of things","","","",""
"sometimes/often/always","13","18.7","10.0","32.3"
"rarely/never","57","81.3","67.7","90.0"
"some people seemed uncomfortable with me","","","",""
"sometimes/often/always","11","15.1","10.2","21.9"
"rarely/never","59","84.9","78.1","89.8"
"some people avoided me","","","",""
"sometimes/often/always","6","8.4","4.8","14.4"
"rarely/never","64","91.6","85.6","95.2"
"limitations in activities","","","",""
"prevented from driving","","","",""
"yes","22","63.6","53.0","73.1"
"no","12","36.4","26.9","47.0"
"prevented from getting driver's license","","","",""
"yes","27","60.6","46.9","72.9"
"no","17","39.4","27.1","53.1"
"limited getting good night's sleep","","","",""
"no","57","71.4","61.3","79.7"
"yes","23","28.6","20.3","38.7"
"limited educational opportunities","","","",""
"not at all","53","66.5","56.8","75.0"
"a little bit/moderately","20","25.0","16.5","36.0"
"quite a bit/extremely","7","8.5","5.1","13.9"
"limited job opportunities","","","",""
"not at all","45","56.5","46.6","65.8"
"a little bit/moderately","17","21.0","14.3","29.6"
"quite a bit/extremely","18","22.6","14.6","33.3"
"employment status","","","",""
"currently employed","39","50.4","40.5","60.2"
"not currently employed / no job","31","40.3","31.3","50.1"
"permanently unable to work","7","9.3","5.7","14.8"
"reason not working","","","",""
"epilepsy","7","18.6","11.4","28.9"
"other illness","f","19.3","11.3","30.9"
"retired","f","25.6","15.1","40.0"
"other","14","36.5","24.7","50.1"
"had epilepsy while working","","","",""
"yes","23","78.5","67.5","86.6"
"no","6","21.5","13.4","32.5"
"made changes at work","","","",""
"yes","f","27.0","17.1","39.9"
"no","45.0","73.0","60.1","82.9"
