"relationship type","2017","2017","2017","2016r","2016r","2016r","average 2007 to 2016","average 2007 to 2016"
"relationship type","number of victims","percent","rate","number of victims","percent","rate","number of victims","percent"
"family relationship","137","31.1","0.37","141","32.6","0.39","148","32.6"
"spousal relationship","51","11.6","..","55","12.7","..","63","13.9"
"legal husband/wife","16","3.6","..","23","5.3","..","23","5.0"
"common-law husband/wife","21","4.8","..","23","5.3","..","26","5.6"
"separated or divorced husband/wife","8","1.8","..","2","0.5","..","7","1.5"
"separated common-law husband/wife","5","1.1","..","5","1.2","..","7","1.4"
"same-sex spouse","1","0.2","..","2","0.5","..","2","0.3"
"other family relationship","86","19.5","..","86","19.9","..","85","18.7"
"father or mother","21","4.8","..","18","4.2","..","25","5.5"
"son or daughter","34","7.7","..","33","7.6","..","26","5.8"
"sibling","6","1.4","..","10","2.3","..","10","2.2"
"extended family","25","5.7","..","25","5.8","..","23","5.1"
"intimate relationship","25","5.7","..","21","4.9","..","23","5.1"
"acquaintance","143","32.4","0.39","171","39.6","0.47","165","36.4"
"close friend","32","7.3","..","33","7.6","..","32","7.2"
"neighbour","24","5.4","..","9","2.1","..","13","2.9"
"authority or reverse authority figure","1","0.2","..","10","2.3","..","4","0.8"
"business relationship","5","1.1","..","9","2.1","..","8","1.8"
"casual acquaintance","81","18.4","..","110","25.5","..","108","23.8"
"criminal relationship","59","13.4","0.16","40","9.3","0.11","44","9.7"
"stranger","77","17.5","0.21","59","13.7","0.16","74","16.3"
"unknown relationship","2","..","..","3","..","..","4",".."
"total solved homicides","443","100.0","..","435","100.0","..","456","100.0"
"unsolved homicides","217","..","..","177","..","..","123",".."
"total homicides","660","..","..","612","..","..","578",".."
