"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"birmingham city","1976-77","first division","4","1","0","0","0","0","4","1"
"birmingham city","1977-78","first division","11","0","0","0","0","0","11","0"
"birmingham city","1978-79","first division","14","0","0","0","0","0","14","0"
"birmingham city","total","total","29","1","0","0","0","0","29","1"
"wrexham","1978-79","second division","21","1","3","0","0","0","24","1"
"wrexham","1979-80","second division","38","6","4","0","4","1","46","7"
"wrexham","1980-81","second division","38","6","5","1","0","0","43","7"
"wrexham","1981-82","second division","38","1","4","0","4","0","44","1"
"wrexham","1982-83","third division","6","0","0","0","2","0","8","0"
"wrexham","total","total","142","10","16","2","10","1","168","13"
"port vale","1982-83","fourth division","34","3","1","0","0","0","35","3"
"port vale","1983-84","third division","40","3","1","0","6","0","47","3"
"port vale","total","total","74","6","2","0","6","0","82","6"
"chester city","1984-85","fourth division","32","4","1","1","3","0","36","5"
"chester city","1985-86","fourth division","1","0","0","0","0","0","1","0"
"chester city","total","total","33","4","1","1","3","0","37","5"
"career total","career total","career total","278","21","19","3","19","1","316","25"
