"","distance","distance","distance","distance"
"","500 m or less","1 km or less","5 km or less","10 km or less"
"delivery mode type","","","",""
"a","87.3","92.2","99.3","100.0"
"b","92.0","97.0","100.0","100.0"
"e, g, m","65.6","74.4","87.8","96.7"
"h, k, t","1.1","3.3","38.9","82.2"
"w","0.0","0.4","47.3","78.3"
"representative point type","","","",""
"blockface","91.4","94.7","98.1","99.8"
"dissemination block","65.4","78.2","98.0","99.0"
"dissemination area","2.3","4.4","45.9","80.9"
"community size","","","",""
"1,500,000 or more","72.1","77.5","92.2","99.5"
"500,000 to 1,499,999","74.0","80.0","88.7","98.0"
"100,000 to 499,999","64.3","68.3","84.1","98.4"
"10,000 to 99,999","56.4","61.0","82.2","94.2"
"fewer than 10,000","9.1","9.4","45.7","76.2"
