"party","first round","first round","first round","second round","second round","second round","total seats","+/-"
"party","votes","%","seats","votes","%","seats","total seats","+/-"
"congolese party of labour","","","72","","","18","90","+1"
"pan-african union for social democracy","","","3","","","5","8","+1"
"dynamic for the republic and recovery","","","0","","","3","3","new"
"action movement for renewal","","","3","","","","",""
"rally for democracy and social progress","","","2","","","","",""
"union for a people's movement","","","2","","","","",""
"club 2002 pur","","","1","","","","",""
"party for agreement and political action","","","1","","","","",""
"patriotic front","","","1","","","","",""
"citizen rally","","","1","","","","",""
"union of democratic forces","","","1","","","","",""
"independents","","","8","","","-","",""
"vacant","","","-","","","-","9",""
"total","","","95","","","","151","+12"
"registered voters/turnout","2,221,596","100","-","","","-","-","-"
"source: jeune afrique, radio france internationale","source: jeune afrique, radio france internationale","source: jeune afrique, radio france internationale","source: jeune afrique, radio france internationale","source: jeune afrique, radio france internationale","source: jeune afrique, radio france internationale","source: jeune afrique, radio france internationale","source: jeune afrique, radio france internationale","source: jeune afrique, radio france internationale"
