"jurisdiction","total custody","total custody","total custody","total community services","total community services","total community services","total correctional services","total correctional services","total correctional services","total correctional services"
"jurisdiction","number","rate","percent change in rate from 2016/2017","number","rate","percent change in rate from 2016/2017","number","rate","percent change in rate from 2016/2017","percent change in rate from 2013/2014"
"newfoundland and labrador","11","3","12","176","56","-8","187","59","-7","-29"
"prince edward island","4","4","2","52","53","-21","56","57","-20","-54"
"nova scotia","22","4","-3",".","..","..","..","..","..",".."
"new brunswick","15","3","-11",".","..","..","..","..","..",".."
"ontario","275","3","-6","2,478","27","-6","2,753","30","-6","-42"
"manitoba","185","19","-14","1,204","123","-6","1,389","141","-7","-28"
"saskatchewan","133","16","-15","1,007","121","2","1,140","137","0","-10"
"alberta","91","3","-21","914","32","-10","1,005","35","-11",".."
"british columbia","49","2","-6","417","14","-15","467","16","-14","-41"
"northwest territories","4","14","-13","17","55","-9","21","69","-10","-46"
"nunavut","4","9","-48","30","78","-16","34","87","-21","-38"
"total-all jurisdictions","792","4","-12","6,296","36","-6","7,052","41","-7","-34"
