"type of behaviour","men","men","men","men","women","women","women","women"
"type of behaviour","number","percent","95% confidence interval","95% confidence interval","number","percent","95% confidence interval","95% confidence interval"
"type of behaviour","number","percent","from","to","number","percent","from","to"
"unwanted sexualized behaviours","286,000","32.2","30.9","33.5","447,000","44.6","43.4","45.9"
"inappropriate verbal or non-verbal communication","260,000","29.3","28.0","30.6","403,000","40.2","39.0","41.5"
"sexual jokes","221,000","24.9","23.7","26.1","273,000","27.2","26.1","28.4"
"unwanted sexual attention, such as whistles, calls, etc","49,000","5.5","4.9","6.2","267,000","26.6","25.5","27.8"
"inappropriate sexual comments about their appearance or body","70,000","7.9","7.2","8.7","177,000","17.7","16.7","18.7"
"inappropriate discussion about their or someone else's sex life","120,000","13.5","12.5","14.5","193,000","19.3","18.3","20.4"
"sexually explicit materials","50,000","5.6","5.0","6.3","720,000","7.1","6.5","7.8"
"displaying, showing, or sending sexually explicit messages or materials","49,000","5.5","4.9","6.2","68,000","6.8","6.2","7.5"
"taking or posting inappropriate or sexually suggestive photos or videos of them without consent","5,000","0.5","0.4","0.8","11,000","1.1","0.8","1.4"
"physical contact or suggested sexual relations","93,000","10.5","9.6","11.4","255,000","25.5","24.3","26.6"
"indecent exposure or inappropriate display of body parts in a sexual manner","24,000","2.7","2.3","3.2","35,000","3.5","3.0","4.0"
"repeated pressure from the same person for dates or sexual relationships","27,000","3.0","2.6","3.6","114,000","11.4","10.6","12.3"
"unwelcome physical contact or getting too close","66,000","7.4","6.7","8.2","209,000","20.8","19.8","21.9"
"being offered personal benefits for engaging in sexual activity or being mistreated for not engaging in sexual activity","12,000","1.4","1.1","1.8","35,000","3.5","3.0","4.0"
