"ffrdc","sponsor","location","all r&d expenditures","basic research (%)","applied research (%)","development"
"all ffrdcs","","","17446036","35.2","30.7","34.1"
"university administered","","","5174091","41.7","26.8","31.5"
"ames lab","doe","ames, ia","33853","70.6","25.6","3.7"
"argonne national lab","doe","argonne, il","679387","44.9","27.1","28"
"fermi national accelerator lab","doe","batavia, il","412438","100","0","0"
"jet propulsion lab","nasa","pasadena, ca","1493613","10","10","80"
"lawrence berkeley national lab","doe","berkeley, ca","767554","73.3","26.6","0.1"
"lincoln lab","dod, osd","lexington, ma","873104","0","90.7","9.3"
"national ctr. for atmospheric research","nsf","boulder, co","169743","49.1","16.4","34.5"
"national optical astronomy observatories","nsf","tucson, az","46557","100","0","0"
"national radio astronomy observatory","nsf","charlottesville, va","79168","90.3","6.4","3.4"
"princeton plasma physics lab","doe","princeton, nj","81389","100","0","0"
"slac national accelerator lab","doe","stanford, ca","329747","100","0","0"
"software engineering institute","dod, osd","pittsburgh, pa","113371","0","13.2","86.8"
"thomas jefferson national accelerator facility","doe","newport news, va","94167","100","0","0"
"nonprofit administered","","","5464141","28.1","29.1","42.9"
"aerospace ffrdc","dod, air force","el segundo, ca","39746","6.7","76.5","16.9"
"arroyo ctr","dod, army","santa monica, ca","31278","0","100","0"
"brookhaven national lab","doe","upton, ny","516921","77.8","10","12.2"
"ctr. for advanced aviation system development","dot, faa","mclean, va","159311","0","5.1","94.9"
"ctr. for communications and computing","dod, nsa/css","alexandria, va","62600","25","50","25"
"ctr. for enterprise modernization","treasury (irs), va","mclean, va","226539","0","5.5","94.5"
"ctr. for naval analyses","dod, navy","alexandria, va","91628","0","100","0"
"ctr. for nuclear waste regulatory analyses","nrc","san antonio, tx","13147","0","100","0"
"homeland security studies and analysis institute","dhs","arlington, va","30213","0","100","0"
"homeland security systems engineering and development institute","dhs","mclean, va","77159","0","2.4","97.6"
"national biodefense analysis and countermeasures ctr","dhs","frederick, md","31201","0","100","0"
"national defense research institute","dod, osd","santa monica, ca","53832","0","100","0"
"national renewable energy lab","doe","golden, co","398873","4.3","19.4","76.3"
"national security engineering ctr","dod, osd","bedford, ma; mclean, va","946737","0","5.2","94.8"
"oak ridge national lab","doe","oak ridge, tn","1553460","55.6","44.4","0"
"pacific northwest national lab","doe","richland, wa","1033768","22.4","18.2","59.5"
"project air force","dod, air force","santa monica, ca","41031","0","100","0"
"science and technology policy institute","nsf","washington, dc","7547","0","100","0"
"studies and analyses ctr","dod, osd","alexandria, va","149150","0","100","0"
"industry administered","","","6807804","35.9","35.1","29"
"frederick national lab. for cancer research","nih","frederick, md","430100","11.1","88.9","0"
"id national lab","doe","idaho falls, id","536399","6","51","43"
"judiciary engineering and modernization ctr","u.s. courts","mclean, va","5309","0","5.6","94.4"
"lawrence livermore national lab","doe","livermore, ca","1353454","12.3","74.3","13.4"
"los alamos national lab","doe","los alamos, nm","2056878","100","0","0"
"sandia national labs","doe","albuquerque, nm","2293307","5.9","28.7","65.4"
"savannah river national lab","doe","aiken, sc","132357","5","50","45"
