"region","2011","2036","2036","2036","2036","2036","2036","2036","2036","2036"
"region","2011","reference","low immigration","high immigration","geographic distribution of immigrants 2005 to 2010","geographic distribution of immigrants 2000 to 2005","alternative immigration composition","internal migration 2006 to 2011","internal migration 2001 to 2006","internal migration 1996 to 2001"
"region","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"canada","","","","","","","","","",""
"english","75.4","77.8","77.7","77.8","77.6","77.7","77.8","77.8","77.8","77.9"
"french","22.9","20.4","20.9","20.2","20.6","20.5","20.3","20.4","20.4","20.3"
"neither english nor french","1.7","1.8","1.4","1.9","1.8","1.9","1.8","1.8","1.8","1.8"
"total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"quebec","","","","","","","","","",""
"english","13.6","16.9","16.4","17.2","17.0","16.9","17.1","17.2","17.3","16.4"
"french","85.4","82.4","83.0","82.0","82.2","82.4","82.2","82.1","82.0","82.9"
"neither english nor french","0.9","0.7","0.6","0.8","0.7","0.7","0.7","0.7","0.7","0.7"
"total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"canada outside quebec","","","","","","","","","",""
"english","94.2","94.7","95.1","94.6","94.7","94.6","94.7","94.9","94.9","94.3"
"french","3.9","3.2","3.2","3.2","3.2","3.2","3.2","3.1","3.0","3.6"
"neither english nor french","1.9","2.1","1.7","2.2","2.1","2.2","2.1","2.1","2.1","2.0"
"total","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
