"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"selangor","2012","malaysia super league","9","1","0","0","0","0","-","-","9","1"
"selangor","2013","malaysia super league","0","2","0","0","0","0","6","0","0","2"
"selangor","2014","malaysia super league","9","0","2","0","0","0","3","0","14","0"
"selangor","2015","malaysia super league","13","1","2","0","5","0","-","-","20","1"
"selangor","total","total","53","4","4","0","5","0","9","0","71","4"
"sarawak","2016","malaysia super league","9","1","1","0","0","0","-","-","10","1"
"sarawak","total","total","9","1","1","0","0","0","0","0","10","1"
"pkns","2017","malaysia super league","11","0","1","0","3","0","-","-","15","0"
"pkns","2018","malaysia super league","15","0","3","1","0","0","-","-","18","1"
"pkns","total","total","26","0","4","1","3","0","0","0","33","1"
"career total","career total","career total","0","0","0","0","0","0","0","0","0","0"
