"season","club","division","league","league","fa cup","fa cup","league cup","league cup","europe","europe","total","total"
"season","club","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"leicester city","1982-83","second division","39","13","1","1","1","0","-","-","41","14"
"leicester city","1983-84","first division","40","15","1","0","2","1","-","-","43","16"
"leicester city","1984-85","first division","39","12","4","2","2","1","-","-","45","15"
"leicester city","1985-86","first division","40","19","1","0","1","0","-","-","42","19"
"leicester city","1986-87","first division","42","17","1","1","3","2","-","-","46","20"
"leicester city","total","total","200","76","8","4","9","4","-","-","217","84"
"arsenal","1987-88","first division","39","11","3","1","8","4","-","-","50","16"
"arsenal","1988-89","first division","36","23","2","0","5","2","-","-","43","25"
"arsenal","1989-90","first division","38","10","2","0","4","3","-","-","44","13"
"arsenal","1990-91","first division","37","22","8","2","4","3","-","-","49","27"
"arsenal","1991-92","first division","39","12","1","1","2","0","4","4","46","17"
"arsenal","1992-93","premier league","31","3","7","1","7","2","-","-","45","6"
"arsenal","1993-94","premier league","25","3","2","1","5","1","9","2","41","7"
"arsenal","1994-95","premier league","19","2","1","0","3","1","4","1","27","4"
"arsenal","total","total","264","86","26","6","38","16","17","7","347","115"
"career total","career total","career total","464","162","34","10","47","20","17","7","564","199"
