"","literacy","literacy","literacy","numeracy","numeracy","numeracy"
"","off-reserve first nations","metis","non-aboriginal","off-reserve first nations","metis","non-aboriginal"
"","predicted probability","predicted probability","predicted probability","predicted probability","predicted probability","predicted probability"
"sex","","","","","",""
"men","0.349","0.516","0.617","0.257","0.458","0.586"
"women","0.343","0.525","0.583","0.160","0.320","0.423"
"age group","","","","","",""
"25 to 34","0.338","0.521","0.630","0.184","0.366","0.528"
"35 to 44","0.404","0.606","0.637","0.211","0.495","0.530"
"45 to 54","0.333","0.439","0.583","0.209","0.365","0.494"
"55 to 65","0.304","0.522","0.556","0.190","0.303","0.472"
"education","","","","","",""
"high school diploma or less","0.209","0.368","0.406","0.108","0.251","0.317"
"trade, vocational or apprenticeship certificate","0.349","0.483","0.469","0.214","0.380","0.411"
"postsecondary education - less than a bachelor's degree","0.501","0.589","0.634","0.315","0.446","0.533"
"postsecondary education - bachelor's degree or more","0.623","0.793","0.824","0.446","0.674","0.749"
"current student","","","","","",""
"yes","0.595","0.545","0.694","0.457","0.473","0.610"
"no","0.323","0.518","0.593","0.179","0.375","0.497"
"parental education","","","","","",""
"both less than a high school diploma","0.291","0.455","0.538","0.144","0.311","0.440"
"at least one has a high school diploma","0.360","0.523","0.614","0.222","0.380","0.512"
"at least one has postsecondary education - less than a bachelor's degree","0.417","0.597","0.633","0.253","0.496","0.542"
"at least one has a university degree","0.390","0.550","0.628","0.270","0.401","0.541"
"number of books in the home at age 16","","","","","",""
"25 or less","0.287","0.459","0.497","0.151","0.354","0.394"
"26 to 100","0.339","0.555","0.602","0.207","0.395","0.520"
"more than 100","0.487","0.552","0.683","0.302","0.412","0.588"
"province / region of residence","","","","","",""
"atlantic","0.339","0.417","0.547","0.189","0.289","0.422"
"quebec","0.384","0.380","0.552","0.321","0.262","0.500"
"ontario","0.432","0.526","0.626","0.192","0.378","0.517"
"manitoba","0.302","0.530","0.628","0.185","0.448","0.522"
"saskatchewan","0.259","0.367","0.597","0.160","0.268","0.507"
"alberta and british columbia","0.339","0.622","0.635","0.214","0.467","0.523"
"territories","0.173","0.357","0.596","0.093","0.251","0.463"
"employment status","","","","","",""
"employed","0.390","0.568","0.618","0.246","0.419","0.530"
"not employed","0.279","0.359","0.524","0.136","0.278","0.402"
