"role","films","films","films"
"role","anchorman: the legend of ron burgundy","wake up, ron burgundy: the lost movie","anchorman 2: the legend continues"
"director","adam mckay","adam mckay","adam mckay"
"producer","judd apatow","judd apatow","judd apatow will ferrell adam mckay"
"writer","will ferrell adam mckay","will ferrell adam mckay","will ferrell adam mckay"
"composer","alex wurman","alex wurman","andrew feltenstein john nau"
"cinematographer","thomas e. ackerman","thomas e. ackerman","oliver wood"
"editor","brent white","brent white","brent white melissa bretherton"
"production companies","apatow productions","apatow productions","apatow productions gary sanchez productions"
"distributor","dreamworks pictures","dreamworks pictures","paramount pictures"
"running time","94 minutes","93 minutes","119 minutes"
"release date","july 9, 2004","december 28, 2004","december 18, 2013"
