"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sporting b","2003-04","segunda divisao - zona sul","35","3","0","0","0","0","0","0","35","3"
"olivais e moscavide","2005-06","segunda divisao serie d","2","0","0","0","0","0","1","0","3","0"
"olivais e moscavide","2006-07","liga de honra","24","4","2","0","0","0","0","0","26","4"
"fatima","2007-08","liga de honra","26","9","1","0","5","2","0","0","32","11"
"vitoria setubal","2008-09","primeira liga","5","0","2","0","0","0","0","0","7","0"
"academica","2008-09","primeira liga","13","4","0","0","0","0","0","0","13","4"
"sporting cp","2009-10","primeira liga","16","2","2","1","3","1","7","1","28","5"
"sporting cp","2010-11","primeira liga","27","1","2","0","1","0","9","1","39","2"
"sporting cp","total","total","43","3","4","1","4","1","16","2","67","7"
"servette","2011-12","swiss super league","7","0","1","0","0","0","0","0","8","0"
"academica","2012-13","primeira liga","7","0","2","0","3","1","0","0","12","1"
"oriental","2014-15","segunda liga","16","2","1","0","3","3","0","0","20","5"
"oriental","2015-16","ligapro","15","5","0","0","0","0","0","0","15","5"
"oriental","total","total","31","7","1","0","3","3","0","0","35","10"
"port vale","2016-17","efl league one","0","0","0","0","1","0","0","0","1","0"
"career total","career total","career total","193","30","13","1","16","7","17","2","239","40"
