"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"melbourne heart","2011-12","a-league","25","1","0","0","0","0","0","0","25","1"
"newcastle united","2012-13","premier league","0","0","0","0","0","0","0","0","0","0"
"newcastle united","2013-14","premier league","0","0","0","0","1","0","0","0","1","0"
"newcastle united","2014-15","premier league","0","0","0","0","0","0","0","0","0","0"
"newcastle united","2015-16","premier league","0","0","0","0","0","0","0","0","0","0"
"newcastle united","2016-17","championship","0","0","1","0","0","0","0","0","1","0"
"newcastle united","2017-18","premier league","0","0","0","0","0","0","0","0","0","0"
"newcastle united","total","total","0","0","1","0","1","0","0","0","2","0"
"bradford city","2012-13","league two","3","0","1","0","3","0","2","0","9","0"
"dundee united","2013-14","scottish premiership","4","1","1","0","0","0","0","0","5","1"
"melbourne city","2018-19","a-league","0","0","0","0","-","-","0","0","0","0"
"career total","career total","career total","32","2","3","0","4","0","2","0","41","2"
