"","men","men","women","women"
"","coefficient","standard error","coefficient","standard error"
"age group","","","",""
"35 to 44","-0.202","0.020","-0.103","0.036"
"45 to 54","-0.326","0.024","-0.192","0.044"
"marital status","","","",""
"single or never married","0.071","0.022","-0.006","0.038"
"separated, divorced or widowed","-0.033","0.057","-0.086","0.049"
"presence of young children in 2006","-0.005","0.019","0.171","0.048"
"visible minority status","-0.014","0.024","-0.026","0.063"
"aboriginal identity","0.062","0.057","0.085","0.069"
"immigrant status","-0.016","0.078","-0.174","0.176"
"highest certificate, diploma or degree","","","",""
"college, cegep or other non-university certificate or diploma or university certificate below a bachelor's degree","-0.031","0.019","0.000","0.031"
"university degree above a bachelor's degree","0.050","0.026","0.033","0.049"
"location of study","-0.011","0.029","-0.087","0.067"
"stem field of study","","","",""
"physical and chemical sciences","-0.027","0.048","-0.130","0.051"
"biological, general and integrated sciences","-0.038","0.042","-0.015","0.055"
"mathematics and computer and information sciences","-0.047","0.017","-0.047","0.032"
"area of birth","","","",""
"newfoundland and labrador","0.077","0.042","0.099","0.096"
"prince edward island","0.230","0.145","0.247","0.144"
"nova scotia","-0.031","0.081","0.076","0.099"
"new brunswick","0.036","0.032","0.028","0.053"
"quebec","0.002","0.022","0.035","0.032"
"manitoba","0.060","0.041","0.072","0.115"
"saskatchewan","0.051","0.064","0.076","0.111"
"alberta","0.138","0.044","0.072","0.051"
"british columbia","0.015","0.048","0.132","0.060"
"territories","0.171","0.118","0.020","0.108"
"born outside canada","0.054","0.077","0.255","0.164"
"persisted in a stem occupation","-0.012","0.022","0.050","0.037"
