"type of offence","2012/2013","2012/2013","2013/2014","2013/2014","percent change in number of cases 2012/2013 to 2013/2014","difference in median length of cases 2012/2013 to 2013/2014"
"type of offence","number","median length of case","number","median length of case","percent","days"
"violent offences","91,033","167","84,862","172","-7","5"
"homicide","243","485","258","451","6","-34"
"attempted murder","145","315","186","314","28","-1"
"robbery","3,985","220","3,388","223","-15","3"
"sexual assault","3,204","309","3,002","321","-6","12"
"other sexual offences","3,307","307","3,462","305","5","-2"
"major assault","20,547","194","19,232","198","-6","4"
"common assault","35,863","132","33,630","134","-6","2"
"uttering threats","17,559","154","15,810","161","-10","7"
"criminal harassment","3,158","156","3,175","166","1","10"
"other violent offences","3,022","229","2,719","226","-10","-3"
"property offences","88,664","100","82,187","106","-7","6"
"theft","39,318","71","36,364","73","-8","2"
"break and enter","10,864","164","9,609","176","-12","12"
"fraud","12,130","169","11,381","170","-6","1"
"mischief","13,771","107","13,041","113","-5","6"
"possess stolen property","10,987","98","10,371","100","-6","2"
"other property offences","1,594","174","1,421","147","-11","-27"
"administration of justice offences","85,554","72","82,116","76","-4","4"
"fail to appear","4,565","82","4,389","71","-4","-11"
"breach of probation","32,742","58","31,334","63","-4","5"
"unlawfully at large","2,512","18","2,595","13","3","-5"
"fail to comply with order","37,232","79","35,516","85","-5","6"
"other administration of justice offences","8,503","127","8,282","133","-3","6"
"other criminal code offences","16,791","168","15,272","162","-9","-6"
"weapons","9,682","180","9,020","173","-7","-7"
"prostitution","896","106","903","108","1","2"
"disturbing the peace","1,452","64","1,316","59","-9","-5"
"residual criminal code offences","4,761","197","4,033","211","-15","14"
"criminal code","282,042","116","264,437","120","-6","4"
"criminal code traffic offences","52,413","130","48,334","150","-8","20"
"impaired driving","42,048","115","38,635","141","-8","26"
"other criminal code traffic offences","10,365","169","9,699","171","-6","2"
"total criminal code offences","334,455","119","312,771","121","-6","2"
"other federal statute offences","53,159","132","47,869","130","-10","-2"
"drug possession","16,303","85","14,925","87","-8","2"
"other drug offences","11,577","258","10,100","254","-13","-4"
"youth criminal justice act","1,214","52","1,132","48","-7","-4"
"residual federal statute offences","24,065","141","21,712","135","-10","-6"
"total offences","387,614","120","360,640","123","-7","3"
