"club","season","league","league","league","national cup","national cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"bk hacken","2009","allsvenskan","19","0","0","0","","","19","0"
"bk hacken","2010","allsvenskan","26","1","0","0","","","26","1"
"bk hacken","2011","allsvenskan","25","0","0","0","","","25","0"
"bk hacken","2012","allsvenskan","27","0","0","0","","","27","0"
"bk hacken","2013","allsvenskan","24","0","0","0","","","24","0"
"bk hacken","total","total","121","1","0","0","","","121","0"
"bodø/glimt","2014","tippeligaen","25","2","1","0","","","26","2"
"bodø/glimt","2015","tippeligaen","19","1","2","0","","","21","1"
"bodø/glimt","total","total","44","3","3","0","","","47","3"
"ordabasy","2016","kazakhstan premier league","29","0","1","0","2","0","32","0"
"falkenbergs","2017","superettan","25","1","1","1","","","26","2"
"falkenbergs","2018","superettan","0","0","0","0","","","0","0"
"falkenbergs","total","total","25","1","1","1","","","26","2"
"career total","career total","career total","219","5","5","1","2","0","226","6"
