"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"derby county","1989-90","first division","10","1","-","-","0","0","0","0","10","1"
"derby county","1990-91","first division","19","4","0","0","1","0","1","0","21","4"
"derby county","1991-92","second division","41","13","3","2","3","1","3","0","50","16"
"derby county","1992-93","first division","19","4","3","1","0","0","5","1","27","6"
"derby county","1993-94","first division","34","1","1","0","3","0","4","0","42","1"
"derby county","1994-95","first division","37","3","1","0","4","1","2","1","44","5"
"derby county","total","total","160","26","8","3","11","2","15","2","194","33"
"lincoln city","1989-90","fourth division","3","0","2","0","-","-","1","0","6","0"
"coventry city","1995-96","premier league","32","2","1","0","4","1","-","-","37","2"
"coventry city","1996-97","premier league","32","2","4","0","2","0","-","-","38","2"
"coventry city","1997-98","premier league","20","0","1","0","4","0","-","-","25","0"
"coventry city","1998-99","premier league","22","0","2","0","2","0","-","-","26","0"
"coventry city","1999-00","premier league","28","1","3","0","1","0","-","-","32","1"
"coventry city","2000-01","premier league","30","0","2","0","4","0","-","-","36","0"
"coventry city","2001-02","first division","5","0","-","-","0","0","-","-","5","0"
"coventry city","total","total","169","5","13","0","17","0","-","-","199","5"
"southampton","2001-02","premier league","28","0","1","0","1","0","-","-","30","0"
"southampton","2002-03","premier league","11","0","1","0","0","0","-","-","12","0"
"southampton","total","total","39","0","2","0","1","0","-","-","42","0"
"stoke city","2003-04","first division","19","0","0","0","1","0","-","-","20","0"
"stoke city","2004-05","championship","0","0","0","0","0","0","-","-","0","0"
"stoke city","total","total","19","0","0","0","1","0","-","-","20","0"
"richmond kickers","2005","usl first division","5","0","-","-","5","0","none","none","none","none"
"career total","career total","career total","395","31","25","3","30","3","16","2","466","39"
