"","care facility","supportive housing","at home, separate households","at home, shared household"
"","number","number","number","number"
"total","743.5","438.3","3,338.4","881.3"
"","percentage","percentage","percentage","percentage"
"age of care receiver","","","",""
"65 to 74","11","9","27","41"
"75 to 84","35","33","45","37"
"85 and over","55","58","27","23"
"sex of care receiver","","","",""
"male","23","23","31","38"
"female","77","77","69","62"
"relationship with caregiver","","","",""
"grandparent","16","19","20","13"
"friend or neighbour","11","10","17","2"
"father-in-law or mother-in-law","14","15","12","10"
"father or mother","47","46","45","42"
"spouse or partner","2","f","0","29"
"child","f","f","f","f"
"other family member","10","8","5","3"
"main health condition related to help received by the care receiver","","","",""
"cardiovascular disease","12","8","10","14"
"cancer","6","4","11","9"
"mental illness","3","2","2","2"
"alzheimer's disease","25","11","4","8"
"neurological disease","5","f","2","5"
"aging or frailty","34","53","44","29"
"other chronic health problems","15","21","26","32"
"severity of health condition","","","",""
"mild","9","12","17","15"
"moderate","31","43","41","39"
"serious","60","45","42","45"
