"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"tiro federal","2013-14","torneo argentino b","15","3","0","0","-","-","0","0","15","3","none","none"
"olimpo","2014","primera division","3","0","0","0","-","-","0","0","3","0","none","none"
"olimpo","2015","primera division","1","0","0","0","-","-","0","0","1","0","none","none"
"olimpo","total","total","4","0","0","0","-","-","0","0","4","0","none","none"
"santamarina","2016","primera b nacional","18","1","0","0","-","-","0","0","18","1","none","none"
"santamarina","2016-17","primera b nacional","29","2","3","0","-","-","0","0","32","2","none","none"
"santamarina","total","total","47","3","3","0","-","-","0","0","50","3","none","none"
"boca unidos","2017-18","primera b nacional","23","3","0","0","-","-","0","0","23","3","none","none"
"godoy cruz","2018-19","primera division","9","0","1","0","-","-","0","0","0","0","10","0"
"career total","career total","career total","98","9","4","0","-","-","0","0","0","0","102","9"
