"","women","women","men","men"
"","1987","2015","1987","2015"
"","percent","percent","percent","percent"
"total","59.2","56.1","15.7","17.1"
"secondary and elementary school teachers and educational counsellors","3.8","5.3","2.0","1.6"
"paraprofessional occupations in legal, social, community and education services","2.8","4.7","0.4","0.6"
"administrative and regulatory occupations","2.5","4.6","1.5","1.2"
"general office workers","7.1","4.2","1.0","0.4"
"professional occupations in nursing","4.7","3.9","0.3","0.4"
"assisting occupations in support of health services","1.5","3.4","0.2","0.5"
"auditors, accountants and investment professionals","2.0","2.9","2.3","2.5"
"financial, insurance and related administrative support workers","2.9","2.8","0.4","0.4"
"cleaners","2.6","2.6","2.0","2.1"
"home care providers and educational support occupations","3.7","2.4","0.4","0.2"
"retail salespersons","4.0","2.3","1.8","1.5"
"human resources and business service professionals","0.7","2.3","0.8","1.2"
"customer and information services representatives","2.1","2.1","0.2","0.9"
"finance, insurance and related business administrative occupations","2.4","2.1","0.4","0.6"
"office administrative assistants - general, legal and medical","9.5","2.0","0.2","0.1"
"social and community service professionals","0.8","1.8","0.7","0.6"
"cashiers","2.3","1.8","0.2","0.3"
"occupations in food and beverage service","1.8","1.7","0.4","0.6"
"policy and program researchers, consultants and officers","0.4","1.7","0.4","1.0"
"other technical occupations in health care","1.7","1.6","0.2","0.4"
