"","montreal metropolitain area","montreal metropolitain area","montreal metropolitain area","island of montreal","island of montreal","island of montreal","city of laval","city of laval","city of laval"
"","present in 2011","expected in 2011","difference","present in 2011","expected in 2011","difference","present in 2011","expected in 2011","difference"
"","numbers","numbers","numbers","numbers","numbers","numbers","numbers","numbers","numbers"
"total - health care professionals","95,340","96,980","-1,640","67,025","68,560","-1,535","6,350","7,950","-1,600"
"registered nurses and registered psychiatric nurses","20,800","20,530","270","15,715","15,105","610","1,195","1,705","-510"
"general practitioners and family physicians","4,895","4,995","-100","3,470","3,370","100","305","420","-115"
"psychologists","3,690","3,690","0","2,660","2,425","235","240","345","-105"
"social workers","4,145","4,310","-165","2,900","3,190","-290","260","350","-90"
"pharmacists","3,315","3,410","-95","2,055","2,170","-115","305","375","-70"
"licensed practical nurses","3,480","2,995","485","2,540","2,130","410","300","190","110"
"paramedical occupations","820","990","-170","570","615","-45","15","65","-50"
"nurse aides, orderlies and patient service associates","12,755","13,590","-835","9,565","10,020","-455","690","990","-300"
"other health care professionals","41,440","42,535","-1,095","27,550","29,450","-1,900","3,040","3,535","-495"
