"station","capacity","co2 emissions","owner","capacity mechanism payment","capacity mechanism payment"
"none","none","none","none","2018","2019"
"afsin-elbistan a power station","1355","none","celikler holding","none","none"
"afsin-elbistan b power station","1440","5.5","euas","none","none"
"atlas enerji iskenderun power station","1200","4.4","atlas enerji","none","eligible"
"bolu goynuk power station","270","1.1","kazancı holding","30","eligible"
"cenal power station","1320","4.8","cenal elektrik","none","eligible"
"cayırhan power station tr:cayırhan termik santrali","620","2.5","ciner group","none","none"
"yatagan power station","630","2.5","bereket enerji","70","eligible"
"kemerkoy power station","630","2.5","yenikoy kemerkoy elektrik","70","eligible"
"yenikoy power station tr:yenikoy termik santrali","420","1.7","yenikoy kemerkoy elektrik","47","eligible"
"18 mart can power station","320","1.3","euas","none","none"
"can-2 power station","330","none","odas group","10","eligible"
"catalagzı power station tr:catalagzı termik santrali","300","1.2","bereket enerji","35","eligible"
"orhaneli power station","210","0.8","celikler holding","23","eligible"
"tufanbeyli power station","450","1.8","enerjisa","none","eligible"
"soma power station","990","4.0","anadolu birlik holding via tr:konya seker","110","eligible"
"seyitomer power station","600","2.4","celikler holding","67","eligible"
"zetes power stations","2790","10.2","eren enerji","13","eligible"
"celikler tuncbilek power station","365","1.5","celikler holding","41","eligible"
"kangal power station","457","2.2","anadolu birlik holding via konya seker","51","eligible"
"isken sugozu power station","1320","4.6","tr:oyak","none","none"
"izdemir enerji power station","350","1.3","izdemir enerji","none","eligible"
"icdas bekirli-1 power station","405","6.2 including icdas bekirli-2","icdas","5","eligible"
"icdas bekirli-2 power station","1200","included in icdas bekirli-1","icdas","none","none"
"sırnak silopi power station","405","1.63","ciner group","45","eligible"
"yunus emre power station","290","none","adularya enerji","none","none"
"soma kolin power station","510","none","kolin group","none","eligible"
"polat power station","51","none","polatyol","none","eligible"
"gebze colakoglu power station","190","none","colakoglu metalurji","none","eligible"
"aksa power station","142","none","akkok group","none","none"
